stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
1,4418,3734,1020,0.284444444,106,9999,9999,F,L,0,183,0.5,9999,2,0,1,H,9999,SD,53,1
1,4418,3734,1020,0.284444444,106,0.12,1,R,L,1,183,0.5,224,2,0,1,K,1,SD,53,2
1,4418,3734,1021,0.109722222,106,9999,9999,F,L,0,178,0.5,9999,2,0,2,X,9999,SD,53,1
1,4418,3734,1021,0.109722222,106,0.157,1,R,L,1,178,0.5,100,2,0,2,K,1,SD,53,2
1,4418,3734,1022,0.2525,106,9999,9999,9999,9999,9999,9999,0.5,9999,3,0,1,9999,9999,SD,53,0
1,4418,3734,1023,0.334722222,107,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,1,9999,9999,SD,53,0
1,4418,3734,1024,0.308333333,107,9999,9999,F,L,0,190,0.5,9999,4,0,1,X,9999,SD,53,1
1,4418,3734,1024,0.308333333,107,0.173,1,R,L,1,190,0.5,225,4,0,1,K,1,SD,53,2
1,4418,3734,1025,0.268055556,202,9999,9999,9999,9999,9999,9999,0.25,9999,3,0,1,9999,9999,SD,53,0
1,4418,3734,1026,0.112222222,202,9999,9999,F,R,0,92,0.25,9999,3,0,2,K,9999,SD,53,1
1,4418,3734,1026,0.112222222,202,0.129,1,R,R,1,92,0.25,218,3,0,2,H,1,SD,53,2
1,4418,3734,1026,0.112222222,202,9999,9999,F,R,0,94,0.25,9999,3,0,2,K,9999,SD,53,1
1,4418,3734,1026,0.112222222,202,0.199,1,R,R,1,94,0.25,359,3,0,2,H,1,SD,53,2
1,4418,3734,1027,0.271111111,202,9999,9999,9999,9999,9999,9999,0.25,9999,4,0,2,9999,9999,SD,53,0
1,4418,3734,1028,0.127222222,203,9999,9999,F,R,0,103,0.25,9999,2,0,1,K,9999,SD,53,1
1,4418,3734,1028,0.127222222,203,0.103,1,R,R,1,103,0.25,14,2,0,1,H,1,SD,53,2
1,4418,3734,1028,0.127222222,203,9999,9999,F,R,0,107,0.25,9999,2,0,1,K,9999,SD,53,1
1,4418,3734,1028,0.127222222,203,0.124,1,R,R,1,107,0.25,177,2,0,1,H,1,SD,53,2
1,4418,3734,1028,0.127222222,203,0.465,1,F,R,1,108,0.25,143,2,0,1,K,1,SD,53,1
1,4418,3734,1028,0.127222222,203,9999,9999,R,R,0,108,0.25,9999,2,0,1,H,9999,SD,53,2
1,4418,3734,1028,0.127222222,203,0.345,1,F,R,1,112,0.25,128,2,0,1,K,1,SD,53,1
1,4418,3734,1028,0.127222222,203,9999,9999,R,R,0,112,0.25,9999,2,0,1,H,9999,SD,53,2
1,4418,3734,1029,0.213611111,203,9999,9999,9999,9999,9999,9999,0.25,9999,3,0,1,9999,9999,SD,53,0
1,4418,3734,1031,0.061944444,203,9999,9999,9999,9999,9999,9999,0.25,9999,3,0,2,9999,9999,SD,53,0
1,4418,3734,1032,0.253055556,203,9999,9999,F,R,0,113,0.25,9999,4,0,2,K,9999,SD,53,1
1,4418,3734,1032,0.253055556,203,0.086,1,R,R,1,113,0.25,12,4,0,2,H,1,SD,53,2
1,4418,3734,1033,0.231111111,204,9999,9999,F,R,0,119,0.25,9999,2,0,1,K,9999,SD,53,1
1,4418,3734,1033,0.231111111,204,0.384,1,R,R,1,119,0.25,112,2,0,1,H,1,SD,53,2
1,4418,3734,1033,0.231111111,204,9999,2,F,R,1,120,0.25,9999,2,0,1,K,1,SD,53,1
1,4418,3734,1033,0.231111111,204,0.305,2,R,R,1,120,0.25,20,2,0,1,H,1,SD,53,2
1,4418,3734,1033,0.231111111,204,0.293,1,F,R,1,125,0.25,71,2,0,1,K,1,SD,53,1
1,4418,3734,1033,0.231111111,204,9999,9999,R,R,0,125,0.25,9999,2,0,1,H,9999,SD,53,2
1,4418,3734,1034,0.023055556,204,9999,9999,9999,9999,9999,9999,0.25,9999,2,0,9,9999,9999,SD,53,0
1,4418,3734,1035,0.375833333,204,0.118,1,F,R,1,116,0.25,192,3,0,1,K,1,SD,53,1
1,4418,3734,1035,0.375833333,204,0.171,1,R,R,1,116,0.25,236,3,0,1,H,1,SD,53,2
1,4418,3734,1035,0.375833333,204,9999,9999,F,R,0,118,0.25,9999,3,0,1,K,9999,SD,53,1
1,4418,3734,1035,0.375833333,204,0.461,1,R,R,1,118,0.25,55,3,0,1,H,1,SD,53,2
1,4418,3734,1036,0.168888889,204,9999,9999,9999,9999,9999,9999,0.25,9999,4,0,1,9999,9999,SD,53,0
1,4418,3734,1037,0.152222222,205,0.618,1,F,R,1,142,0.25,959,1,0,1,K,1,SD,53,1
1,4418,3734,1037,0.152222222,205,0.817,1,R,R,1,142,0.25,1242,1,0,1,H,1,SD,53,2
1,4418,3734,1037,0.152222222,205,0.765,1,F,R,1,144,0.25,578,1,0,1,K,1,SD,53,1
1,4418,3734,1037,0.152222222,205,9999,9999,R,R,0,144,0.25,9999,1,0,1,H,9999,SD,53,2
1,4418,3734,1037,0.152222222,205,9999,9999,F,R,0,145,0.25,9999,1,0,1,K,9999,SD,53,1
1,4418,3734,1037,0.152222222,205,0.744,1,R,R,1,145,0.25,845,1,0,1,H,1,SD,53,2
1,4418,3734,1037,0.152222222,205,9999,9999,F,R,0,146,0.25,9999,1,0,1,K,9999,SD,53,1
1,4418,3734,1037,0.152222222,205,0.511,1,R,R,1,146,0.25,415,1,0,1,H,1,SD,53,2
1,4418,3734,1037,0.152222222,205,0.4,1,F,R,1,148,0.25,666,1,0,1,K,1,SD,53,1
