"session","ID","occasion","trap","tim","ss"
1,134,1,6,851112.333,157.4691608
1,135,1,5,857558,162.8876185
1,135,1,6,857572.167,157.5149943
1,136,1,5,860481.917,163.0838284
1,136,1,6,860494.5,157.6416965
1,137,1,5,863752.25,163.3168784
1,137,1,6,863766.5,157.4782758
1,138,1,5,866610,163.1397014
1,138,1,6,866626.25,158.2560665
1,139,1,5,870232.583,163.0275633
1,139,1,6,870248.417,156.8830973
1,140,1,5,873098.917,163.1658158
1,140,1,6,873113.167,157.5078333
1,141,1,5,876171,163.3311497
1,141,1,6,876184.833,158.210047
1,142,1,5,879539.083,163.0075211
1,142,1,6,879552.417,158.5812829
1,143,1,5,883582.333,163.2325361
1,143,1,6,883597.667,157.6240036
1,144,1,4,892689.917,159.3780874
1,145,1,5,894716.75,163.151128
1,145,1,6,894731.75,158.1908536
1,146,1,5,898741.75,163.2145169
1,146,1,6,898756.417,158.5368345
1,147,1,4,901373.917,159.7776032
1,148,1,5,902567.917,163.1972744
1,148,1,6,902580.583,157.2932521
1,149,1,4,902645.833,159.4613276
1,150,1,5,905499.333,163.5070486
1,150,1,6,905513.25,157.1019318
1,151,1,5,908851.167,163.3163063
1,151,1,6,908865.417,158.1992246
1,152,1,5,911932.25,163.5378682
1,152,1,6,911947.25,158.3980585
1,153,1,5,914939.5,163.4602262
1,153,1,6,914955,157.9237506
1,154,1,5,918100.667,163.8958586
1,154,1,6,918118.833,157.8869541
1,155,1,6,918178.667,155.5192292
1,156,1,5,923952.833,163.1280688
1,156,1,6,923966.583,157.6998419
1,157,1,5,927048,163.3694355
1,157,1,6,927063.5,158.0799079
1,158,1,5,930220.833,162.9601942
1,158,1,6,930235.833,157.7091081
1,159,1,5,932968.167,163.2787616
1,159,1,6,932982.917,157.0449219
1,160,1,5,935795.833,163.3275064
1,160,1,6,935810.917,157.2430855
1,161,1,5,939856.917,162.8849231
1,161,1,6,939872.25,157.4445577
1,162,1,5,942516.75,163.0084711
1,162,1,6,942529.833,158.2510362
1,163,1,5,945103.667,162.9493873
1,163,1,6,945117.083,157.9066002
1,164,1,5,947514.167,162.9718464
1,164,1,6,947528.417,158.0057996
1,165,1,4,949272.167,160.7351846
1,166,1,5,951907.333,164.2544195
1,166,1,6,951921,158.5034445
1,167,1,6,952002.917,156.2976727
1,168,1,5,956543.167,164.0110975
1,168,1,6,956557.833,158.5485891
1,169,1,5,962075.75,163.6517635
1,169,1,6,962089.917,157.9527309
1,170,1,5,964961.917,163.4294108
1,170,1,6,964975.75,158.2586093
1,171,1,5,967679.667,163.4614843
1,171,1,6,967693,158.30581
1,172,1,4,968004,160.7009391
1,173,1,5,970441.667,163.1092204
1,173,1,6,970455.083,157.867808
1,174,1,5,973298.833,163.333964
1,174,1,6,973313.5,157.9572368
1,175,1,5,976520.333,163.2383735
1,175,1,6,976537.667,158.8004735
1,176,1,5,978675.167,162.9572632
1,176,1,6,978688.583,157.72552
1,177,1,5,981227,163.0420305
1,177,1,6,981242,157.8237071
1,178,1,5,984086.25,163.28715
1,178,1,6,984100,158.2960523
1,179,1,5,986540.25,163.5716414
1,179,1,6,986556.333,157.6290566
1,180,1,5,989253.5,163.3776013
1,180,1,6,989266.417,158.2555086
1,181,1,6,989332.25,156.9893556
1,182,1,5,991802.75,163.0317199
1,182,1,6,991816.083,157.9460485
1,183,1,5,994548.583,163.221866
1,183,1,6,994562.417,158.2000519
1,184,1,5,997698.25,163.1761983
1,184,1,6,997714.417,157.3860987
1,185,1,5,1000150.333,163.0805739
1,185,1,6,1000166.167,157.8160759
1,186,1,5,1002620.333,162.7875261
1,186,1,6,1002633.25,157.8218555
1,187,1,5,1005297.667,163.4895026
1,187,1,6,1005315.083,158.1172278
1,188,1,5,1008363.917,162.8227702
1,188,1,6,1008378.25,157.1203818
1,189,1,5,1011163.083,162.9838035
1,189,1,6,1011177.333,158.2138123
1,190,1,5,1013650.667,163.3139751
1,190,1,6,1013666,157.5203483
1,191,1,5,1016294.583,162.7353418
1,191,1,6,1016310.75,156.9509477
1,192,1,5,1020846.417,163.3946802
1,192,1,6,1020860.667,157.8553528
1,193,1,5,1022406.75,162.991772
1,193,1,6,1022422.167,157.7218918
1,194,1,5,1024089.917,162.8589476
1,194,1,6,1024109.333,157.5831807
1,195,1,5,1025860.5,163.5548412
1,195,1,6,1025873.583,158.2489006
1,196,1,5,1027792.417,163.1558886
1,196,1,6,1027807.833,157.7840572
1,197,1,5,1030070.167,163.3674796
1,197,1,6,1030084.083,158.3440368
1,198,1,5,1032267.917,163.7137141
1,198,1,6,1032287.667,157.4143351
1,199,1,5,1034769.333,162.9744257
1,199,1,6,1034788,157.6292867
1,200,1,5,1037017.583,163.0754484
1,200,1,6,1037032.667,157.5466512
1,201,1,5,1039759.417,163.2041722
1,201,1,6,1039774.417,158.9543779
1,202,1,5,1042994.417,163.2545444
1,202,1,6,1043010.667,158.3284637
1,203,1,5,1046117.333,163.2202472
1,203,1,6,1046137.583,157.4340048
1,204,1,5,1048640.333,163.3617085
1,204,1,6,1048655.333,157.6743517
1,205,1,5,1051666.75,163.3440287
1,205,1,6,1051682.5,157.5215419
1,206,1,5,1054598,162.7687427
1,206,1,6,1054613,158.2529524
1,207,1,5,1057173,162.6445846
1,207,1,6,1057187.25,157.8458231
1,208,1,5,1060566.667,162.5141059
1,208,1,6,1060584.083,157.2993014
1,209,1,5,1062791.417,163.4960771
1,209,1,6,1062805.25,157.3317143
1,210,1,5,1066648.75,163.4956555
1,210,1,6,1066662.583,158.0258431
1,211,1,5,1071488.5,162.8610318
1,211,1,6,1071503.5,157.1829047
1,212,1,5,1071829.5,160.2411313
1,213,1,5,1072146.917,156.3295532
1,214,1,4,1074171.833,159.8285574
1,215,1,4,1075235.333,160.1581177
1,216,1,5,1076787.083,162.8691439
1,216,1,6,1076801,158.4676693
1,217,1,5,1079004.5,162.5467796
1,217,1,6,1079020.25,157.4709141
1,218,1,5,1081260.083,162.7721942
1,218,1,6,1081279.167,157.6123556
1,219,1,5,1083507.167,162.9324901
1,219,1,6,1083525,156.9931911
1,220,1,5,1087421.333,163.4407504
1,220,1,6,1087437.833,158.3303377
1,221,1,5,1089840.25,163.1212304
1,221,1,6,1089854,158.2246382
1,222,1,5,1092173,163.4005733
1,222,1,6,1092192.75,158.3691144
1,223,1,5,1094739.667,162.6230143
1,223,1,6,1094755.083,157.6185588
1,224,1,5,1097124.083,162.8378596
1,224,1,6,1097139.083,158.4498851
1,225,1,5,1099643.833,162.6991598
1,225,1,6,1099658.417,157.0760883
1,226,1,5,1099928.083,156.3540429
1,227,1,5,1101898.583,162.7055879
1,227,1,6,1101915.25,158.2238056
1,228,1,5,1104446.833,162.7189866
1,228,1,6,1104463.167,157.0998276
1,229,1,5,1106966.75,162.8997552
1,229,1,6,1106984.583,158.4506231
1,230,1,5,1109104.667,162.4297123
1,230,1,6,1109122.917,157.2027713
1,231,1,5,1111884.333,162.5189168
1,231,1,6,1111906.083,157.1564635
1,232,1,5,1114696.75,162.8167434
1,232,1,6,1114711.667,157.9289916
1,233,1,2,1117239.25,170.9133151
1,233,1,1,1117244.833,171.7676787
1,233,1,3,1117254.5,171.2194708
1,233,1,6,1117261.167,170.2189931
1,233,1,4,1117280.083,169.1107005
1,233,1,5,1117283.75,168.3607385
1,234,1,5,1117332.667,162.4810136
1,234,1,6,1117348.833,157.5982706
1,235,1,5,1120198.75,162.6172126
1,235,1,6,1120218.5,156.7756982
1,236,1,5,1123041.333,162.3672292
1,237,1,6,1123068.75,156.8120221
1,238,1,5,1123566.25,163.1502198
1,239,1,5,1125475.75,162.1670946
1,240,1,1,1127115.667,154.099124
1,241,1,5,1131297.667,162.4009308
1,241,1,6,1131313.167,157.668622
1,242,1,6,1133018.5,157.2895017
1,243,1,5,1134949.5,162.3106937
1,243,1,6,1134963.25,156.3166341
1,244,1,4,1164563.75,163.7666475
1,245,1,4,1165715.583,159.9357886
1,246,1,4,1167229.667,161.7876815
1,247,1,3,1181247.917,166.4117779
1,248,1,4,1181276.417,160.6864777
1,249,1,3,1182022.75,168.8401913
1,249,1,4,1182028.167,161.4638843
1,250,1,3,1182948.167,161.0918633
1,251,1,3,1184607.833,159.4795769
1,252,1,3,1185298.5,165.1164812
1,253,1,3,1185330.583,169.3775308
1,254,1,3,1185358,161.1044468
1,255,1,3,1185408.583,166.2122207
1,256,1,3,1185464.5,161.6918648
1,257,1,3,1185555.75,168.5884059
1,258,1,3,1185576.333,163.4171679
1,259,1,3,1185627.75,166.1794142
1,260,1,3,1185812.833,170.6036312
1,261,1,3,1185837,159.7330831
1,262,1,3,1185972.833,161.0467878
1,263,1,3,1186095.667,174.8301297
1,263,1,2,1186113.25,158.9008988
1,264,1,3,1186163.75,163.9742416
1,265,1,3,1186254.75,165.8830314
1,266,1,3,1186482,163.9967345
1,267,1,3,1186502.667,163.9967345
1,268,1,3,1186574.167,166.7811648
1,269,1,5,1186981.833,156.4265829
1,270,1,3,1187498.75,163.0293683
1,271,1,3,1187675,165.7641733
1,272,1,3,1188348.75,162.0407291
1,273,1,3,1188386.417,171.9053499
1,274,1,3,1188411,166.5845157
1,275,1,3,1188736.167,179.5211903
1,275,1,2,1188752.75,162.5734502
1,276,1,3,1188879.167,181.7400675
1,277,1,2,1188918.667,161.6871892
1,277,1,6,1188923.583,157.4178135
1,278,1,3,1188971.917,173.7950052
1,279,1,3,1189548.167,163.7985576
1,280,1,3,1189567.083,163.7985576
1,281,1,3,1189936.25,165.6362041
1,282,1,3,1190175.25,166.1547897
1,283,1,3,1190548.583,164.90573
1,284,1,3,1190912.167,164.3753179
1,285,1,3,1191825.667,173.0657697
1,285,1,2,1191836.583,165.5328415
1,286,1,3,1197323.167,164.991793
1,286,1,6,1197325.917,159.5592889
1,286,1,1,1197326.583,160.3971116
1,287,1,3,1197927.833,162.2756799
1,287,1,1,1197931.25,159.4899521
1,287,1,2,1197932.5,161.4342351
1,288,1,3,1197947.417,159.8455445
1,288,1,1,1197951.5,156.0858397
1,289,1,3,1198036.917,167.8189079
1,289,1,1,1198039.5,162.6317854
1,289,1,6,1198039.833,163.7978177
1,289,1,2,1198042.417,163.8496035
1,290,1,2,1198071.583,162.114808
1,291,1,5,1198529.417,161.1487938
1,292,1,6,1198864.25,160.8751987
1,293,1,6,1199709.167,159.5787334
1,294,1,5,1199887.917,160.1888971
1,295,1,5,1199907.583,161.6232038
1,296,1,5,1204511,158.1527962
1,297,1,5,1204743.083,161.3146049
1,298,1,5,1206164,158.0779145
1,299,1,5,1208052,162.2418729
1,300,1,6,1208258.5,163.5753383
1,301,1,6,1208304.083,167.6926167
1,302,1,6,1208349.083,163.570787
1,303,1,6,1208544.75,162.1325568
1,304,1,3,1208700.417,168.8926534
1,304,1,6,1208701.917,170.5174788
1,304,1,1,1208709.417,157.6237982
1,304,1,2,1208710.25,163.4443134
1,304,1,4,1208713.833,167.7182392
1,304,1,5,1208715.25,164.1247701
1,305,1,3,1208752.083,168.5095008
1,305,1,6,1208753.083,165.7442555
1,305,1,4,1208765,163.7755421
1,305,1,5,1208766.333,161.1950764
1,306,1,6,1208797.917,165.453467
1,306,1,3,1208798.75,167.7041579
