"D" "g0" "sigma"
0.00752728823716 0.884653737333 3475.55294335
0.020176239568 0.999999843503 1617.09484852
0.0615185435926 0.982168039858 1095.92647576
0.0215241680035 0.894698988663 1783.32307909
0.055701131485 0.999999920139 1106.43637915
0.0451064641194 0.999999872115 1170.51490229
0.0720685999767 0.999999905153 941.723793254
0.0155435880833 0.815362626156 2269.65745857
0.0587584003675 0.999999887017 1048.30018041
0.0150232470908 0.813748999934 2265.75677863
0.0117130449784 0.766570915384 2686.70195205
0.0079311091028 0.818932737127 3176.11809986
0.0324962795561 0.999999737509 1479.69022335
0.028503207572 0.929887566877 1483.22578738
0.0238934227959 0.999999903768 1623.62117578
0.0244128883775 0.999999114072 1682.2368905
0.0182307485774 0.803148434365 2213.56785183
0.0145284706488 0.999999117122 2301.35941654
0.0109162345829 0.999999850161 2224.94424444
0.100596153629 0.999999556026 755.412326212
0.0337437572329 0.999999666388 1301.86659156
0.00788411891328 0.672426981083 5231.52162538
0.0714792008916 0.921442772689 970.421174081
0.0886993117843 0.941775378464 805.635885257
0.0176223829973 0.999999743185 1901.90250771
0.0362963420431 0.999999457705 1253.78262437
0.00884640027898 0.862275427654 3075.51847157
0.0687696721791 0.999999915746 958.727065338
0.086685493228 0.844347250007 961.451525741
0.0394555488281 0.927125258527 1427.09589389
0.0347402118184 0.999999899624 1252.93983305
0.00829205148989 0.799395368341 3733.94102771
0.0678703554469 0.999999871094 945.393810281
0.0461712762467 0.999999825706 1227.29366139
0.0101543395914 0.801775644876 3340.45933965
0.0901091551375 0.999999829147 847.866941626
0.00892670048991 0.999999797306 2898.53441339
0.0458109972179 0.999999865334 1209.0253869
0.0081548690023 0.804361705523 3400.17801789
0.00878708883434 0.870694084792 3197.20047989
0.0325819793368 0.879500700337 1398.47233334
0.0505245961735 0.99999931344 1156.59598209
0.0361122931558 0.828593420727 1428.86210804
0.0291243268391 0.946050883841 1629.28324002
0.022276385736 0.999999841858 1647.76576909
0.0242047915044 0.999999709322 1784.43243787
0.0358315027649 0.930792024282 1454.82306883
0.0769552160884 0.999999577149 871.85101049
0.0530537674903 0.999999921915 1251.20910134
0.158035522446 0.9607313781 584.546194499
0.0215835538331 0.955149418353 1920.76720233
0.015280049448 0.762399939626 2209.71235812
0.0310759290523 0.999999448641 1467.07691058
0.00862653559697 0.736912791902 3367.09975979
0.00860238769107 0.717159686984 4358.41063298
0.0580750020296 0.999998237134 1004.06200822
0.0850079800996 0.999999169886 886.09621013
0.123569353083 0.999999830164 705.740402193
0.0130980071233 0.999999833823 2133.81865564
0.102171709426 0.680204626448 875.880796931
0.00842845404581 0.978082721751 2964.26882669
0.0795630383799 0.999999936226 881.505342546
