"D" "g0" "sigma" "no3s"
0.136668020789 0.999999577574 1373.05802963 1
0.160402273686 0.93948146816 1314.82973542 3
0.161768035634 0.999999718373 1226.17284159 0
0.162771133239 0.999999771673 1244.56051071 0
0.131195083131 0.999999886143 1392.42910833 1
0.184875183495 0.857112592199 1275.23542406 0
0.158799943195 0.876036730878 1280.55995137 0
0.146660705247 0.986785288483 1320.37741214 1
0.165051196044 0.999999556378 1234.48894081 1
0.163188032531 0.999999722674 1277.22418283 1
0.186970803284 0.885409643472 1316.28168946 3
0.162759472011 0.9999998149 1267.15725754 0
0.177150880076 0.99999932727 1207.62019538 1
0.159051979365 0.728978434215 1436.09909052 0
0.183584624724 0.99999964016 1187.58278627 0
0.16612558662 0.999999843272 1289.18061086 0
0.15675830245 0.999999820871 1270.47530055 0
0.159066399497 0.99868922636 1260.48626305 0
0.151911935808 0.999999793102 1312.2094149 1
0.160159435714 0.999999649522 1258.145483 1
0.136591006838 0.999999427456 1363.73580712 1
0.178426615149 0.999999651844 1186.26183832 0
0.181833075263 0.999992157056 1230.72531479 2
0.154385081941 0.999999393413 1301.62940948 2
0.15912149598 0.999999567265 1342.65825634 1
0.158290833774 0.999999840263 1326.22818628 1
0.164733173214 0.999999536629 1288.82437772 2
0.168774829112 0.999999276854 1220.22450659 1
0.185478359893 0.999999611784 1169.41589359 0
0.167724831246 0.999999818028 1258.57411215 0
0.164231572231 0.999999679755 1267.34669 1
0.163119847074 0.903556610348 1327.53771881 1
0.20678191659 0.761471837256 1281.56240935 0
0.178063237488 0.99999810911 1169.53402723 1
0.171262300452 0.999999710654 1261.47242442 1
0.169677387141 0.999999815626 1258.40973296 0
0.170097643748 0.861022080808 1330.86503613 1
0.195329025177 0.999999709005 1192.41780907 0
0.149183446707 0.999997838617 1371.42880662 0
0.210010326351 0.999999639307 1161.70822899 0
0.182253985237 0.999998863551 1187.81686867 1
0.175966449745 0.999999597488 1236.79452265 1
0.166615170549 0.999999638578 1191.29111742 0
0.182295503137 0.999999687301 1184.45041485 0
0.178331614475 0.999999609729 1171.81769495 0
0.1851561926 0.999999740081 1199.04614257 0
0.167856776812 0.999999821599 1263.02835443 0
0.182059762266 0.999999537262 1228.25451655 1
0.181184683923 0.999999695368 1191.8900498 0
0.160950922035 0.99999979213 1263.27883088 0
0.176167047616 0.999999792056 1239.20569321 0
0.165219242176 0.99999972108 1219.88680113 0
0.142623001187 0.999999683686 1337.17016022 0
0.175544086489 0.831529964961 1383.73927752 2
0.156844607857 0.93814370065 1322.12003663 1
0.16970456318 0.99999811128 1251.63695308 2
0.152119766783 0.951128848097 1365.98783749 2
0.164393962887 0.947884911761 1311.36365751 3
