"D" "g0" "sigma" "kappa" "logLik"
0.164215448462 0.865435375956 1305.14638017 87.2307765812 -1311
0.160431508078 0.935590852779 1306.66343864 97.3576901099 -1382.75
0.148141756084 0.999999947643 1329.86995865 79.966889601 -1379.73
0.153398399538 0.925651944518 1366.59737263 57.7491763807 -1417.8
0.195004861148 0.75488102572 1290.63686252 90.7069526692 -1350.59
0.174723427948 0.963598199332 1250.41004609 107.025248813 -1405.46
0.17023646437 0.924217753799 1284.17314937 43.9859384189 -1411.75
0.169354203439 0.89740943162 1357.16289347 144.19839775 -1480.27
0.155448440786 0.999999935952 1287.48451141 119.595924819 -1361.49
0.155225201026 0.999999723066 1202.66502246 90.55230732 -1203.84
0.149963546026 0.986274204196 1241.44309427 95.0900099639 -1218.31
0.178274602303 0.83872186696 1353.93241503 50.088596665 -1477.6
0.182631121892 0.81080532755 1294.01810768 69.1828204391 -1364.6
0.162074395016 0.999999701596 1235.40554349 58.1265285599 -1324.52
0.179944756318 0.99999976341 1217.56448813 69.1402054891 -1423.25
0.165457322843 0.82625664971 1307.14827313 57.6943780835 -1281.99
0.151401213788 0.999999814931 1291.12807575 81.9341153737 -1358.87
0.176811091879 0.968660257064 1276.03774944 156.188569841 -1498.82
0.185328623559 0.999999841666 1182.65234497 49.0097964623 -1409.37
0.162080573962 0.999999789467 1174.62360132 78.9261669254 -1211.22
0.150483464578 0.999999789839 1324.94875654 38.7717682243 -1416.56
0.187150520081 0.920742958934 1221.49156557 42.3931928509 -1396.18
0.152898903538 0.999999894795 1289.15804727 70.45573539 -1346.48
0.177753204933 0.999999816336 1214.98457806 63.34021446 -1413.88
0.136320700284 0.972869704462 1315.36192741 57.4870910707 -1243.63
0.193596057518 0.82101547004 1277.62178362 64.0117244934 -1442.25
0.165263531193 0.999999837777 1262.7102117 64.8590003817 -1417.13
0.167728702594 0.999999935086 1276.95857619 67.1701351155 -1474.4
0.161847490965 0.929992815612 1332.3307821 45.6040020277 -1440.73
0.157804395107 0.999999899361 1269.09670506 48.804213902 -1364.02
0.177393996714 0.830650089719 1362.53898068 90.7906373455 -1506.33
0.170283455114 0.915213712559 1319.47428643 139.112931528 -1453.11
0.193795254844 0.93726451531 1210.00704093 66.4831662678 -1430.24
0.144981940897 0.798441217381 1439.25131948 43.0841586167 -1303.16
0.15238269091 0.999999885613 1322.41522055 140.742847696 -1404.09
0.187377308669 0.917113645644 1256.95810291 127.7082118 -1465.38
0.15416599386 0.999999532861 1282.94056549 84.5924888752 -1346.34
0.185864239 0.999999433001 1188.54324764 42.09848933 -1433.13
0.166900634979 0.854249474319 1347.06337486 78.2012357558 -1386.53
0.163035869249 0.860141199142 1396.72716307 66.4298534994 -1492.24
0.165042558509 0.992750587983 1223.40744328 34.2579843091 -1328.16
0.161443575175 0.999999367116 1257.53178527 72.3785600016 -1359.39
0.163402770759 0.992863522931 1244.49344692 96.5286557428 -1340.32
0.156659585859 0.999998513736 1313.412526 90.3192143157 -1446.75
0.173237373335 0.993422021907 1268.62271577 138.860992435 -1486.69
0.161091467388 0.999999436133 1239.80272423 45.0847123924 -1336.25
0.165600924085 0.970002966376 1275.43737781 68.494520438 -1394.12
0.146295001113 0.981681258197 1316.25121606 74.3764844656 -1334.83
0.154092730797 0.999999323413 1283.29794339 164.018565096 -1365.1
0.158665581784 0.956729108747 1251.5436993 81.823364927 -1286.45
0.167499666914 0.874748561064 1312.52060697 51.3288441487 -1363.38
0.192512814023 0.879336081657 1190.67463898 51.621876935 -1315.4
0.188042689198 0.909394562931 1235.57460456 82.3036081285 -1429.75
0.187513356509 0.726020835752 1354.1412699 113.716573298 -1364.71
0.160588836118 0.999999892756 1291.02012022 65.6908406615 -1430.83
0.186235048494 0.99999988445 1198.12098997 41.5661232548 -1463.41
0.179837889025 0.858445722228 1291.07721142 61.5805526283 -1388.82
0.15684282817 0.999999920414 1293.17133523 66.3658930695 -1399
0.167421548847 0.999999582561 1283.32529715 44.777957326 -1482.67
0.168656636435 0.999999536716 1267.85635976 277.727252059 -1425.55
0.17142708586 0.967415216775 1255.08860991 50.4843801703 -1414.84
0.166477638341 0.932424465332 1277.61907003 55.2517505775 -1364.61
0.168142966772 0.999999516518 1238.19934033 53.5675663962 -1390.46
0.156656274064 0.999998450766 1288.76397696 55.696510431 -1385.01
0.180559376339 0.999999499242 1238.93806934 42.5177134562 -1474.39
0.167849492638 0.879608823412 1375.93214029 45.9168366204 -1515.08
0.143935901531 0.845492963573 1427.73818342 167.847243726 -1340.91
0.188469658768 0.944020508655 1214.03897781 141.079442651 -1417.29
0.177876416374 0.999999834417 1222.57891193 96.1047115256 -1413.79
0.165128828944 0.875528285904 1317.26986873 124.735962801 -1346.84
0.162802891168 0.872583737043 1352.1408282 126.973550565 -1395.29
0.165501453098 0.999999840261 1281.95159628 66.1718760234 -1463.31
0.169584355447 0.86584138558 1295.53087302 56.6700293703 -1346.62
0.168294414515 0.929946303823 1257.27286914 117.098226562 -1330.84
0.157608671114 0.903732043523 1343.01089038 57.7832530617 -1394.66
0.172893692696 0.898143301878 1308.27663811 150.36731153 -1413.23
0.131929371316 0.999995428898 1389.87231913 141.749381746 -1328.83
0.168909469189 0.966543107812 1305.25068388 57.3976131805 -1507.41
0.174625111038 0.999999567819 1219.41902266 164.771352338 -1395.59
0.2005130606 0.88059315666 1215.23352061 65.6100486279 -1437.76
0.179347278695 0.999999839169 1187.61077977 83.793721946 -1362.42
0.15233738937 0.863629790847 1365.85765214 47.8026065621 -1325.29
0.162644487323 0.999999904131 1253.83172988 88.7859909772 -1376.89
0.170282118961 0.838894582181 1365.08166376 64.6593446692 -1451.47
0.169131636474 0.999999955448 1293.80581976 81.9452461944 -1503.82
0.167134163731 0.974654882043 1232.80598872 44.6068837753 -1340.59
0.153033998251 0.999999921908 1331.58490476 142.759583024 -1422.21
0.152169934431 0.990812387146 1354.59680238 87.7827972486 -1468.09
0.161438477586 0.941946881678 1198.76898116 79.2632031581 -1186.94
0.1699440072 0.999999905223 1243.93224718 96.108885279 -1409.01
0.153214775311 0.780475416502 1436.62313857 167.622423656 -1323.76
0.163224100902 0.942062178951 1276.78381675 105.467219387 -1347.87
0.198095274073 0.999999842571 1149.88988039 131.599533823 -1387.43
0.131187151142 0.999999885067 1343.59968203 84.4968588499 -1244.55
0.172291764744 0.999999871368 1187.06818088 76.2336660995 -1317.55
0.149005814354 0.999999812086 1318.00308752 53.7345437457 -1388.73
0.152540456377 0.999999924725 1301.81335352 90.6943857553 -1388.64
0.175275166603 0.962554797594 1243.82036794 41.6475718634 -1418.19
0.177389880562 0.963443173756 1223.03363185 71.4621215679 -1387.37
0.161354671846 0.983004092304 1315.726547 31.4841310554 -1464.4
0.151007022442 0.980051602264 1307.98528815 44.0675349203 -1375.34
0.168771852049 0.934432901622 1314.38787123 91.1279759391 -1485.62
0.151245556634 0.999999901108 1267.93462804 68.9764229286 -1305.69
0.169483551082 0.999999781685 1245.90604371 54.9526438663 -1404.63
0.183506218554 0.999999946517 1187.87779728 59.3843400556 -1394.69
0.178187846145 0.892212031527 1330.04228088 59.780324955 -1514.68
0.160043319153 0.886226222634 1382.23352339 53.5894159127 -1451.38
0.164019364202 0.999999671008 1237.28213455 98.0665897817 -1344.72
0.188493096132 0.951770856058 1227.88418603 63.684098218 -1462.55
0.187492104065 0.945711077282 1216.58609675 44.9315641234 -1429.17
0.163088607619 0.999998477955 1229.16145408 52.1016125112 -1327.74
0.175517347878 0.999999294152 1177.68694888 67.8190014759 -1327.18
0.161340762972 0.999999731062 1294.36832876 48.3627530042 -1438.52
