"D" "sigma" "z" "logLik" "AIC" "maxgrad"
5225.36130778 6.57626897446 6.61965822099 -971.289 1948.578 -0.00228483
4676.20095298 7.08937038591 5.87665383587 -1038.01 2082.02 -1.05834e-05
5460.71409772 6.60003264282 5.83257520022 -1087.67 2181.34 -0.000823223
4517.14194589 6.60440379814 5.40890743783 -946.063 1898.126 -0.000143745
5005.91079875 6.9232112192 6.66391237817 -1009.96 2025.92 -2.60925e-07
4941.73836677 6.75992459459 6.2322700338 -990.116 1986.232 -0.000166728
5451.8771783 6.94306823483 7.17847087627 -1088.28 2182.56 -0.000119743
4466.05342171 7.1913735439 7.21816967794 -995.719 1997.438 -7318.42
5002.36154311 6.97737670101 7.26298626079 -973.565 1953.13 -5.48135e-07
5398.24328892 6.48839367379 6.22651420933 -985.535 1977.07 -9.48212e-07
5305.34217849 6.70763922147 5.56842822043 -1102.78 2211.56 -1.31206e-05
5042.17558752 6.94992981932 7.1826340911 -1004.9 2015.8 -6.86144e-08
4805.22427786 6.88566396494 6.30356253357 -995.131 1996.262 -3.87859e-05
NA NA NA NA NA NA
5664.53941157 6.42149657557 6.10015146293 -1044.71 2095.42 -0.00011266
5215.00491157 6.89360405486 6.68554928305 -1054.06 2114.12 -3.03356e-05
5285.3833329 6.76963584597 6.22163721062 -1084.84 2175.68 -1.56692e-05
5819.22241937 6.67091905105 7.54055172984 -1047.62 2101.24 -0.00321208
4696.3608697 7.13249479573 7.09748426629 -972.343 1950.686 -0.00183335
5224.34170452 6.84860253856 6.37764592125 -1075.81 2157.62 -0.00630445
4786.28263494 6.6533701776 5.58290095445 -976.082 1958.164 -4.3351e-05
5349.20194789 6.85581668764 7.32174541538 -1006.95 2019.9 -0.000580642
4960.05636166 7.11561070201 6.63296843771 -1063.98 2133.96 -0.00747021
5533.68536711 6.56131417324 6.05777526622 -1043.28 2092.56 -6.9506e-06
4659.27298835 6.68560131573 6.04811327403 -947.326 1900.652 -9.79145e-05
5658.49212725 6.68280569171 6.38153878551 -1088.24 2182.48 -4.13123e-05
4514.77249417 7.04516899399 5.94724980464 -979.055 1964.11 -1.09178e-05
4845.22068233 7.03543311207 7.33114843618 -958.542 1923.084 -2.36596e-07
4964.82762527 6.85137678594 5.86405272972 -1069.02 2144.04 -4.41515e-07
5432.23166845 6.88757310061 8.56632523531 -986.921 1979.842 -5.85207e-05
5330.18932383 6.70860129072 6.22250780979 -1048.79 2103.58 -5.87235e-06
5245.6402452 6.3884775046 5.35825338208 -1033.08 2072.16 -0.00238949
5602.03292613 6.62075369184 6.55892904078 -1033.57 2073.14 -0.00106859
5437.04640029 6.66559229991 6.39672250669 -1037.18 2080.36 -1.5167e-05
5010.89311438 6.77462375578 6.69217934089 -985.533 1977.066 -2.25369e-05
5750.2509315 6.57244700922 7.29843474506 -1021.11 2048.22 -0.00080664
5407.44688721 6.69831512021 6.14734250246 -1075 2156 -2.32685e-05
5593.34884727 6.77402509288 6.9885034645 -1071.07 2148.14 -0.00270891
5192.42371311 6.62324019914 5.89946615185 -1023 2052 -0.00117692
5437.67116215 6.43400015291 5.79434005359 -1057.14 2120.28 -2.7938e-07
4834.36267993 6.78679050497 6.19774167609 -985.548 1977.096 -2.24716e-05
5050.54132686 6.68370829843 5.82759775948 -1010.74 2027.48 -5.16243e-06
4573.2597925 6.66507414363 5.79966456989 -907.224 1820.448 -8.85036e-05
5075.3836687 7.06548976286 8.90289940645 -936.705 1879.41 -0.0177138
5771.48260316 6.68554798182 6.5816648369 -1101.58 2209.16 -0.0297307
5474.94590821 6.42368349508 6.50098325317 -988.746 1983.492 -0.0173122
5411.87974222 6.36195301824 6.20785837265 -969.762 1945.524 -2.9562e-05
5036.95419002 6.44991074298 5.83625448131 -967.469 1940.938 -1.07783e-05
4446.27318204 6.99193465976 5.49646677365 -1014.84 2035.68 -4.24604e-06
5011.86113151 6.76879677833 6.67268319553 -961.428 1928.856 -7.63076e-05
4939.1054763 6.6800724198 6.02120995956 -977.916 1961.832 -0.000214685
5055.0200156 6.62792483072 7.28640514935 -928.002 1862.004 -6.73856e-05
5018.44353787 6.8401070721 6.08933286329 -1053.29 2112.58 -0.00130138
5661.21952287 6.7178762673 6.5803455802 -1098.93 2203.86 -0.000786496
5720.12870924 6.50842809784 6.27879381523 -1062.37 2130.74 -0.00153328
5388.01197854 6.59038940101 6.02850412803 -1043.8 2093.6 -1.92592e-06
4893.02860042 6.6064029816 5.94231532933 -964.043 1934.086 -0.00190165
5291.75978655 6.43501389035 5.90904213155 -1001.69 2009.38 -0.00455713
