"D" "shape" "scale" "logLik" "AIC"
4530.5273432 -2.38966920667 -0.312285909438 -955.225 1916.45
5733.35176819 -2.24040003413 -0.303122674217 -1156.49 2318.98
5347.21599051 -2.37443236303 -0.318375845511 -1064.87 2135.74
5603.17375682 -3.01757408761 -0.412594203716 -1038.92 2083.84
5565.80805571 -2.66179238286 -0.357664007806 -1086.71 2179.42
5402.91095589 -2.32214143552 -0.321253512351 -1008.5 2023
5267.26977799 -2.88429360699 -0.373657545614 -1077.02 2160.04
6175.22643313 -3.02923499356 -0.41613638792 -1144.26 2294.52
5614.97876168 -2.1643433071 -0.298648416712 -1108.75 2223.5
5820.59993911 -3.43774419976 -0.469972135385 -1053.32 2112.64
5229.81203767 -2.90818655806 -0.399067749504 -954.181 1914.362
5150.30949072 -2.49327654269 -0.346126023554 -964.306 1934.612
5248.8083668 -2.42924969571 -0.330452768705 -1029.36 2064.72
5319.64857067 -2.6103623727 -0.351278716804 -1015.46 2036.92
5677.11291621 -2.10065191744 -0.290491613145 -1111.37 2228.74
5051.35765685 -2.72220200839 -0.343604569489 -1080.71 2167.42
5352.02185457 -2.307018483 -0.305258982639 -1105.72 2217.44
5467.62668511 -2.92045973615 -0.400708596868 -999.155 2004.31
4902.94648666 -2.74971142875 -0.362332132796 -966.18 1938.36
4904.72832514 -2.4948319975 -0.330513827526 -1002.61 2011.22
5563.74904605 -2.37789334615 -0.313117365476 -1145.42 2296.84
5751.98884645 -2.77075680252 -0.383622820188 -1050.6 2107.2
4660.20550502 -2.8048111327 -0.354959789502 -987.333 1980.666
5374.47547588 -2.16143577993 -0.288830419525 -1115.74 2237.48
5160.58078 -2.21293365584 -0.297003454558 -1063.11 2132.22
5400.84749327 -3.04998140588 -0.410883286665 -1026.88 2059.76
5195.06084525 -2.74412735038 -0.360494033632 -1032.23 2070.46
5988.06427198 -2.20507827486 -0.305025051416 -1167.27 2340.54
5534.97878256 -2.57179373426 -0.352241765305 -1033.74 2073.48
5239.00525051 -2.53034375516 -0.341361635542 -1023.12 2052.24
5167.12756278 -2.88247175224 -0.382472522888 -1022.65 2051.3
5087.50112762 -2.38782465581 -0.31526291152 -1041.34 2088.68
5121.87258719 -2.57992479055 -0.343477309418 -1021.71 2049.42
5286.38621025 -2.85324780072 -0.37883461737 -1028.64 2063.28
6062.05775546 -3.51123826338 -0.480681950415 -1094.72 2195.44
