"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC"
5512.55890836 172.164182295 -3.06724228093 6.62803882734 -2881.45 5770.9
4981.38871547 172.027559773 -2.99981128915 6.81762428573 -2668.54 5345.08
5372.82249781 173.619906775 -3.11493192964 6.33442347097 -3009.8 6027.6
5005.62527452 172.827034413 -3.09699262637 6.01944130234 -2579.34 5166.68
5512.51823511 172.504605412 -2.9991868649 6.34502893202 -3002.64 6013.28
5279.75304151 171.779485326 -3.02630842781 6.47404630408 -2646.98 5301.96
5680.13848906 173.524946505 -3.24881941513 6.22274553365 -2952.45 5912.9
6073.55832066 172.866668401 -3.03259399402 6.2079672236 -3322.94 6653.88
5574.4065902 173.150707088 -3.18880226676 6.21171922978 -2908.54 5825.08
4729.58521514 174.115244121 -3.1662454613 6.06943396612 -2762.09 5532.18
6040.25414648 173.497706532 -3.19651687531 6.07306645204 -3207.95 6423.9
5194.02291279 173.324245774 -3.21317843768 6.15337094659 -2739.3 5486.6
5384.72449483 172.977538509 -3.05248658898 5.94768493298 -2896.96 5801.92
5291.2210053 173.27373417 -3.12695959356 6.0344430735 -2838.82 5685.64
5333.87158043 173.497210777 -3.19149764344 6.37304737989 -2817.07 5642.14
5145.3838863 173.51960369 -3.04805259319 5.5283636444 -2869.94 5747.88
5262.30154251 173.480966096 -3.18866336233 6.60253443047 -2781.84 5571.68
5574.49276919 172.703548196 -3.02071106361 6.77679457879 -3105.21 6218.42
4903.93612388 173.247165409 -3.10924299015 6.43398002227 -2703.44 5414.88
5458.08825498 174.294435203 -3.38181004815 6.66348649684 -2845.67 5699.34
5463.55825299 173.686136802 -3.17642294902 5.97124792723 -2948.33 5904.66
5128.73582903 174.036242665 -3.2283124408 6.15331134165 -2757.3 5522.6
4766.95290164 172.88659874 -3.10278789659 6.23503025522 -2563.64 5135.28
4874.35433152 173.341361426 -3.07405226807 5.62719648642 -2680.98 5369.96
5387.71800237 172.026041342 -3.01418537526 6.73355529794 -2915.59 5839.18
4739.34489512 171.883982746 -2.95538758022 5.69746637941 -2497.98 5003.96
5637.35720031 173.113065607 -3.11372423589 6.06599914565 -2956.35 5920.7
5302.52079373 172.433579519 -3.00571953685 6.1094129435 -2873.43 5754.86
4935.34372979 171.340231421 -2.90930050478 6.79273623306 -2654.44 5316.88
4837.12834958 172.867100789 -3.0739379785 5.58912916681 -2503.8 5015.6
5329.44650117 172.288747187 -3.04539918857 6.70300347692 -2760.21 5528.42
4882.96883388 171.983418235 -2.9610744768 6.40130909711 -2632.38 5272.76
4835.81754706 173.981648548 -3.0662318964 5.88183228315 -2850.65 5709.3
5558.59369097 172.340235313 -3.10816301307 6.18818854412 -2820.77 5649.54
5070.0623105 174.857964416 -3.32267570357 6.17145092306 -2666.78 5341.56
5587.54935748 171.341685579 -2.94164440129 6.4276953587 -2930.44 5868.88
5329.93750249 173.3415161 -3.22288919081 6.20297178547 -2724.06 5456.12
5367.98878519 175.001813377 -3.18895815471 5.17184511575 -2981.27 5970.54
5558.8319196 173.144445462 -3.07355112962 6.29818559973 -3142.13 6292.26
5474.9986819 172.856133101 -3.12109566393 6.77027514159 -2947.01 5902.02
4967.92568389 174.181379485 -3.27268901346 6.45597019105 -2651.75 5311.5
5603.23850227 172.438100072 -3.15116938724 6.39186848369 -2744.49 5496.98
