"D" "shape1" "shape2" "scale" "logLik" "AIC"
5396.75562044 157.273397201 5.07395060823 -0.00212513762327 -1071.67 2151.34
5106.812154 2.82241615182 2.14738570428 -0.157655207525 -947.006 1902.012
5630.79838857 167.837969778 5.13790228743 -0.00202211781938 -1090.77 2189.54
5397.02453826 6.88815577901 2.29717640812 -0.0524492724629 -976.084 1960.168
5616.46608395 109.691075893 4.72467803972 -0.00366572215529 -1051.5 2111
6029.04314467 95.5729329052 4.58875079451 -0.00378704245604 -1203.73 2415.46
4870.81379725 2.00751179407 3.16210369314 -0.329731756256 -1048.33 2104.66
4586.82715005 3.95601129661 2.30954478336 -0.119693841372 -953.731 1915.462
5861.61479929 2.74637804319 2.1578246352 -0.157490955462 -1152.72 2313.44
4535.49121237 2.09598434825 2.48295570133 -0.234186867888 -992.322 1992.644
5359.5397242 138.634243415 4.95282114107 -0.0027627933151 -1037.48 2082.96
NA NA NA NA NA NA
5395.70718681 105.915520466 4.68898055212 -0.00359145110963 -1013.2 2034.4
4747.69587347 2.15930838209 2.45501341345 -0.221624009681 -1043.06 2094.12
5482.06256559 80.8139314161 4.42470138282 -0.0045547127937 -1013.59 2035.18
5566.5672242 112.486145758 4.74307976242 -0.00270685921035 -1122.44 2252.88
4471.34532321 2.14582346046 2.45706296976 -0.225001816274 -974.389 1956.778
5259.88955516 193.572039118 5.28050414492 -0.00198683422965 -1003.9 2015.8
5235.94913565 2.58795618819 2.35184496292 -0.186297503734 -1056.27 2120.54
5076.03464146 168.709043614 5.14320041046 -0.00201916180069 -996.127 2000.254
4712.36099505 147.036209602 5.0069690781 -0.00220870143837 -929.221 1866.442
4910.04875485 144.775288889 4.99498333548 -0.00262984081234 -963.809 1935.618
5472.55685105 101.998559348 4.65070411036 -0.003521950571 -1051.17 2110.34
4610.94128836 2.55724464725 2.26362122226 -0.180811899305 -921.656 1851.312
5408.72954416 2.09762432705 3.15029779395 -0.332319986549 -1060.45 2128.9
5338.36870453 8.29211392913 2.44760376043 -0.0450418486621 -1042.48 2092.96
4845.51064712 2.98201969696 1.93846685131 -0.117577730017 -977.296 1962.592
4918.24861257 93.6926972243 4.57166081284 -0.00430730867836 -911.326 1830.652
5461.51903548 16.4063040249 2.94821244093 -0.0209970715822 -1014.21 2036.42
4827.21133524 2.6029041949 2.13777968906 -0.162594018128 -959.57 1927.14
