"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
5282.98002546 5.16008132239 -0.0199605879302 5.52055255922 -2945.82 5899.64 -0.000195103
5636.23392604 5.15537984147 -0.0201145189629 6.36741181158 -2844.73 5697.46 -0.00107511
4747.30160175 5.16426202053 -0.0206609782573 5.97468205376 -2618.49 5244.98 -0.000322662
5819.71545433 5.17054809791 -0.0218772927249 5.83242548928 -3023.64 6055.28 -0.000755244
4743.26733158 5.15805361509 -0.0193265412748 6.16392013968 -2743.62 5495.24 -0.0013631
4975.06872527 5.16560859089 -0.0208386454604 5.86758848187 -2671.37 5350.74 -9.43233e-06
5112.9858048 5.1580252821 -0.0195262906053 6.2982226056 -2954.32 5916.64 -0.000264804
5305.06283451 5.16231204879 -0.0202399852496 4.89095521168 -2742.56 5493.12 -8.72696e-05
5513.70143091 5.16226778297 -0.0210337742903 6.66480961896 -2896.7 5801.4 -8.45742e-07
5375.2393931 5.15395987241 -0.0197864950497 6.41805575315 -2788.11 5584.22 -0.00126509
5601.17963611 5.1501928436 -0.0191907875579 5.76483131307 -2794.34 5596.68 -1.38954e-05
5437.87196978 5.15784044129 -0.0199612064012 5.99561082819 -2863.86 5735.72 -0.00200278
4888.17655669 5.15679146036 -0.0192692525792 5.79065156355 -2764.84 5537.68 -0.00125077
5633.82961323 5.16109054169 -0.0209396267468 6.09314387577 -2821.07 5650.14 -2.81099e-05
5448.5144294 5.15406985216 -0.0194151416903 6.24691986399 -2953.03 5914.06 -8.2976e-05
5670.92679336 5.16412303547 -0.0209169611212 5.5858970533 -2932.86 5873.72 -2.07834e-05
5289.00509593 5.15652096583 -0.0198429053881 6.19780654015 -2803.52 5615.04 -3.74752e-06
5423.67762615 5.16392340917 -0.0209147957662 6.31049351187 -2897.86 5803.72 -7.36637e-05
4938.76487937 5.16358087119 -0.0206040761618 6.36803540752 -2745.28 5498.56 -1.39675e-07
5351.49581776 5.16758597186 -0.0213585403667 5.54894568219 -2741.95 5491.9 -1.00134e-05
4828.6191779 5.15500788209 -0.0200760853419 6.38722787801 -2471.83 4951.66 -0.00181084
5207.39281233 5.15725101883 -0.0203192270994 5.72385117819 -2630.23 5268.46 -4.99227e-06
5864.76845699 5.16178058858 -0.0206769909964 5.67212766508 -3049.5 6107 -2.71103e-05
5418.5776648 5.15728966561 -0.0206208271968 6.20504696563 -2703.67 5415.34 -4.47384e-05
5504.34683962 5.16419882136 -0.0218819545566 6.08908816468 -2664.11 5336.22 -0.000628791
4955.03941581 5.15944067308 -0.0203200465695 6.7628684125 -2634.04 5276.08 -0.000381763
4798.07972278 5.15686977173 -0.0193026990423 6.36305965187 -2785.28 5578.56 -0.000930477
5013.54490408 5.15710139576 -0.0198259626279 6.1132764148 -2630.69 5269.38 -9.95226e-05
5122.45537995 5.16238440939 -0.0206660046949 5.82368954995 -2663.48 5334.96 -5.06285e-06
4806.51607721 5.16605868189 -0.0207949979237 5.90447513497 -2561.56 5131.12 -5.37631e-05
5230.50951259 5.16282311666 -0.0205510727079 6.2947224347 -2939.9 5887.8 -6.97743e-05
5602.43622836 5.16621643051 -0.0207873970969 6.00076606769 -3066.68 6141.36 -3.8499e-06
5689.27521582 5.15909637919 -0.0204960884493 6.24361408318 -2927.04 5862.08 -0.000384748
5611.21710935 5.15331111675 -0.02009096714 6.33774720413 -2875.74 5759.48 -0.000141206
5008.59058593 5.16102643315 -0.0206463112511 6.40783643007 -2652.12 5312.24 -6.95338e-05
5332.90659129 5.15259256526 -0.0200778250504 6.93810304919 -2707.97 5423.94 -3.87297e-06
5573.45640631 5.15736616451 -0.0203681154363 6.16087858799 -2865.02 5738.04 -4.07383e-06
5088.19896044 5.16313437883 -0.0200734717819 5.73732574164 -2868.58 5745.16 -0.000746706
5041.58956979 5.16568716298 -0.0209866653271 6.3337470007 -2776.36 5560.72 -1.58595e-05
5520.53379533 5.16188745502 -0.0212577367231 6.17444995328 -2783.48 5574.96 -7.47736e-05
5064.25686056 5.15724561107 -0.0191660556315 6.0970342172 -2915.87 5839.74 -8.00538e-05
5390.93675005 5.15709867028 -0.020651284057 6.56119275845 -2756.58 5521.16 -1.59938e-05
