"D" "sigma" "logLik" "AIC"
5105.071633 5.40475721143 -1052.44 2108.88
4551.24444985 5.63215095478 -1010.25 2024.5
5655.02128941 5.45375405794 -1190.55 2385.1
4449.51563079 5.83794886565 -1084.22 2172.44
5088.26241311 5.32002576885 -1027.47 2058.94
5126.0880415 5.4319336539 -1076.8 2157.6
5023.32095443 5.33516993416 -1023.9 2051.8
5165.44659356 5.32854903634 -1022.31 2048.62
4624.38174943 5.71963359015 -1066.57 2137.14
4976.46557038 5.38128276074 -1013.84 2031.68
5200.80337493 5.4717885792 -1105.33 2214.66
5090.39655747 5.60653355651 -1121.14 2246.28
4884.54513063 5.59519283763 -1070.72 2145.44
4452.39050463 5.65877716233 -989.883 1983.766
5486.75319874 5.53023051478 -1184.82 2373.64
4265.23403463 5.70570671433 -996.878 1997.756
4751.91315286 5.59083244085 -1044.49 2092.98
5026.03329284 5.14440194113 -951.324 1906.648
5498.52331947 5.2730972848 -1085.24 2174.48
5344.91229879 5.23374870395 -1051.23 2106.46
4878.78094292 5.40030446005 -1005.11 2014.22
5223.26095536 5.15870570982 -989.128 1982.256
5021.59490923 5.31445549687 -1027.4 2058.8
4870.4782898 5.56242926644 -1068.18 2140.36
5177.96386076 5.40448258371 -1067.2 2138.4
4943.17301578 5.47267635289 -1050.32 2104.64
4683.39713139 5.53309603124 -1020.66 2045.32
5184.66429852 5.1095627237 -956.18 1916.36
4987.26369172 5.48251330073 -1059.06 2122.12
4691.92978576 5.3166891904 -937.209 1878.418
5240.91092364 5.35905688662 -1068.54 2141.08
4645.36287874 5.61052518074 -1026.36 2056.72
4480.00369989 5.63467263887 -1008.23 2020.46
5159.95268945 5.38582140587 -1075.36 2154.72
4997.9550353 5.49602692246 -1073.03 2150.06
4493.95826154 5.50320639864 -952.5 1909
4931.31102293 5.40454614097 -1019.04 2042.08
5893.12606635 5.21379105369 -1148.71 2301.42
4494.71999511 5.71613833728 -1031.17 2066.34
4556.77379364 5.48605099945 -970.317 1944.634
4591.68189879 5.58616760331 -1009.01 2022.02
4296.58906029 5.84745478111 -1037.89 2079.78
5086.96125414 5.36431847632 -1045.68 2095.36
4968.04912758 5.52984200872 -1082.8 2169.6
4880.73352423 5.3199072311 -976.239 1956.478
5045.18151875 5.3953133986 -1036.93 2077.86
5426.49817775 5.31186893632 -1086.78 2177.56
4635.10906843 5.44483685425 -978.85 1961.7
5055.31779896 5.59121272549 -1096.38 2196.76
4841.95400979 5.40636389205 -992.84 1989.68
4911.86118076 5.46381400792 -1033.99 2071.98
5686.84643029 5.10992604651 -1051.94 2107.88
5112.41923009 5.52681608836 -1105.21 2214.42
4888.84611894 5.29106492396 -970.321 1944.642
4388.43934542 5.69145672074 -1003.2 2010.4
4232.05525131 5.78590319877 -994.398 1992.796
4756.2179095 5.26620356174 -936.007 1876.014
4767.23489889 5.62318405266 -1064.5 2133
4821.66929471 5.47862912401 -1025.21 2054.42
4926.32177281 5.35268039497 -1004.47 2012.94
4662.56295791 5.7099622498 -1085.91 2175.82
4758.60837406 5.5289791206 -1035.92 2075.84
5219.43280758 5.26859374684 -1048.04 2100.08
4452.1151865 5.62322216589 -1007 2018
5777.6086914 5.15123328879 -1097.04 2198.08
5428.49121707 5.4619934766 -1142.34 2288.68
4752.05736705 5.56818382016 -1037.43 2078.86
4653.44001365 5.6723094236 -1063.23 2130.46
4920.07352456 5.4131562009 -1012.96 2029.92
5327.86713522 5.51325472611 -1158.64 2321.28
5342.4815483 5.33927689321 -1081.46 2166.92
4914.02215261 5.33963464747 -996.912 1997.824
5255.82846079 5.25355931211 -1049.7 2103.4
