"D" "g0" "sigma" "alpha"
6.03490285522 0.309237440477 248.850336529 5.23212268603
7.13687892118 0.32915115765 239.19704198 4.60197472487
6.38251296259 0.244782003393 256.220914169 5.98814884779
8.72828859189 0.243964397856 245.143799283 6.53633906565
6.82014805742 0.311249984309 251.015032646 8.2148491046
9.9161125422 0.226180851905 238.300171417 4.99437917798
4.51884762942 0.417311042677 256.827035718 5.30558633074
6.87420625978 0.285354997549 252.545021706 3.63928729581
5.54060286539 0.367702141044 254.011497146 4.42953714515
10.851119947 0.164138961081 253.565435161 4.77673094383
6.26412766103 0.285853131564 258.855722144 7.21428543248
5.9054082735 0.373715333819 249.092695671 4.81993295888
7.49245804288 0.240569275139 259.178994273 4.24971212844
6.47037862178 0.330909258345 236.464567872 5.29716406228
9.51556550222 0.215004409503 243.29469296 6.46042694041
6.76572825542 0.249458592951 260.548427433 4.15420101865
5.93763299639 0.339463813669 247.510407918 5.31052624783
5.35981087291 0.471891136192 227.427214613 5.13899809121
7.17514475612 0.326911601514 236.193175999 4.9859752083
8.21522988526 0.242161927005 255.234252002 3.66126962341
5.78460240819 0.349669886975 248.291092293 5.42568159177
12.6921975152 0.152899151037 232.696146832 5.63586507389
7.29524113341 0.37336298857 224.207357121 6.00922477402
7.56789292344 0.306762057735 243.721083595 6.57601713397
7.60267787614 0.245591762818 248.504111604 3.75152407033
5.89044263366 0.294698172559 256.552589782 7.53843768277
12.8785164755 0.186418079869 234.374379126 5.80517986515
4.6827327016 0.405641794962 246.186952027 6.08801483811
7.71174141212 0.268412057538 239.336195507 5.83636250838
6.68867733422 0.36834469139 239.325161315 5.45638859275
10.2909885058 0.222672128679 223.635476634 4.25959843073
5.4439365238 0.33777698045 255.399869078 5.9834611384
6.08588512918 0.369120304482 238.698516096 5.16284636564
7.51168516278 0.255032567955 259.690656793 4.28762165058
6.03958044687 0.311619750334 250.640720535 4.50271058903
9.19014941925 0.183435407035 266.911409187 6.90672167212
4.61120508444 0.407982882916 254.031726553 4.77358470691
22.7056835 0.102410343732 235.568028904 6.37619412527
6.76612199602 0.293840709356 242.385470501 4.46205262581
7.69082575403 0.239588830017 253.601398718 5.35450219188
5.76689729304 0.411317532604 239.970683609 4.42051263271
5.92210991357 0.369418681623 222.920580244 7.50622137267
6.87544277067 0.356248715444 220.238462361 6.10127565017
5.92922172471 0.443103905468 230.51550308 6.72244893318
7.36447675065 0.309627746973 234.197951925 3.97537478817
7.09595437964 0.342765033067 238.530287667 5.12396821621
11.7948703027 0.154969950302 260.645656907 5.24585662583
6.99644275848 0.284430564973 247.246283857 8.19892996987
7.98483956732 0.311837071262 218.706952329 5.08702041305
5.50693873835 0.414783230616 242.264683703 4.3974958132
7.3476945639 0.293127354809 235.409998845 7.37210361584
8.72771349636 0.2681285593 229.892045981 4.79009029608
12.4259024181 0.188918665394 219.162595428 5.03176959587
9.06108205134 0.278139828462 228.603973267 8.19763623039
7.46979955668 0.262419066226 250.125998739 6.22114358836
7.98030158622 0.284547271679 251.760138804 5.61716853519
5.40028527451 0.362684829054 243.773990531 4.48465095449
6.6135786847 0.327480645113 234.148952311 6.80808495477
13.4134119367 0.165490059648 230.440449862 4.46554250717
9.5286810109 0.179878569808 269.137061059 4.32483545623
4.26203822235 0.395770379931 257.863803452 5.51215053682
6.17211148857 0.450541020992 234.144732983 6.245726384
8.73692068692 0.23572914482 257.105716203 7.07492612778
8.97135593592 0.280663163601 233.201074576 4.83293397632
8.58837329032 0.290699612015 227.06333184 4.79516456619
4.17659645757 0.483285050893 243.29350038 3.96554929712
7.91157256375 0.289522856457 241.712799318 5.89392912199
5.5998200521 0.358166355571 262.400178566 4.83703304631
7.53222878513 0.236273786929 250.457185262 4.61079200082
5.17144393974 0.327852740408 262.716036278 4.54281504466
11.0894001759 0.177028967031 253.904360015 4.0160909546
13.4912263028 0.131975411707 235.504303152 6.6625823726
8.83235279359 0.233597590445 241.175669902 5.90255341893
6.61245252997 0.368561328286 238.38453818 8.92578995302
8.31089558284 0.263463659286 242.378811115 5.90171429362
7.97642629724 0.280962622003 257.042177807 5.23317345301
6.84626783043 0.351152833069 234.078043795 10.7147421074
7.04133168439 0.261255898703 255.453168781 7.41642345278
6.31409041718 0.281360396432 249.31074256 6.19867615285
6.49854964285 0.31804450019 248.808084796 7.89377428128
7.20487047801 0.27970002697 250.673023354 6.28298412235
