"D" "ssb0" "ssb1" "sigmass"
4132.39613459 169.03594622 -2.42469795466 7.30617256853
4573.57909399 169.987837743 -2.47396674038 6.83298344798
4203.19304161 169.587595138 -2.47463054337 7.53387147651
4835.20318803 170.189649248 -2.62476566044 6.90510879355
4321.7296626 172.684956689 -2.77933203192 6.93091870601
4321.29077264 168.678433601 -2.29239661724 7.01518284338
4226.45292227 169.959995995 -2.57378756671 7.27225586732
4250.74663542 169.923360578 -2.45366179902 6.85083854028
4177.71800166 169.130085939 -2.38890892809 7.2634467667
4553.12895864 170.382424748 -2.4825196646 6.79426947125
4376.62041307 169.484525718 -2.33684534441 6.97508790981
4197.47859525 170.838991682 -2.5544598088 6.86626315275
4345.38845502 169.381428505 -2.39442012379 7.03383101681
4703.00514765 170.646981845 -2.67742490298 6.44741017089
4363.32078827 171.31021389 -2.67686638467 6.89242814526
4326.5611088 168.396056134 -2.37662803792 7.52817158735
4355.17050348 169.397743314 -2.43879861453 7.13263496849
4680.67702666 168.393263493 -2.40574249062 6.88872830635
4453.63440641 170.993835467 -2.5968793738 7.06299081044
4541.38348273 168.756960101 -2.34754715821 7.20259878187
4228.44412376 171.292885596 -2.63427013264 7.38986963872
4176.46136446 170.303050368 -2.47359391683 7.17985714872
4625.40073449 169.716817792 -2.4644681855 7.14565140105
4092.17721271 170.12755957 -2.50048002484 7.19910983435
4771.16311817 170.014528225 -2.52439614093 7.0113450157
4755.71760479 169.632862254 -2.54633424192 7.23956942499
4625.25934413 169.722636829 -2.46611806247 7.07738146092
4419.17412008 169.511448467 -2.40793007107 6.80077970794
4020.50621481 169.899262975 -2.43145945742 7.2681253501
4232.262227 169.799307311 -2.3616064933 7.00715523762
4770.70381604 170.754793015 -2.68054343795 6.75279951069
4749.64107681 169.281446064 -2.43692264194 6.71628529365
4363.84491736 169.597717003 -2.46814235661 6.64677654291
4228.61585392 168.584766445 -2.29566477082 6.65527514503
4662.50552096 170.395638744 -2.61559721893 7.49086350601
4784.13881095 171.400685493 -2.66811230226 6.76629801362
4536.59794154 170.002939039 -2.60054199041 6.76922307379
4877.72885334 169.586009349 -2.57039201447 7.27639375098
3997.52226282 170.336499319 -2.42098484779 7.47709282899
3666.92709988 168.724128509 -2.30168280723 6.9469289505
4452.06095978 172.171740074 -2.77712462844 6.48185260921
4642.36808027 170.76528663 -2.57947350835 6.8534253311
4139.44638848 170.911735011 -2.54218192356 6.45323825097
4602.75602382 168.67940358 -2.39975642902 7.69167440392
4924.33310602 170.448273983 -2.60309909265 7.07432642418
5202.72572477 169.298318934 -2.53058350143 7.5913755948
4504.14459426 170.383974331 -2.61354322388 6.94695900345
4297.31514729 170.491900199 -2.53885077916 6.7454026984
3938.07121713 171.120046416 -2.59335388814 6.17545297243
