"D" "g0" "sigma"
3843.6942653 0.999999984667 6.09914799589
4453.17055706 0.999990000009 5.70023428809
4354.48043854 0.999999987804 5.50158893642
3928.51848317 0.999999987728 6.02256358848
4152.41873064 0.999999986799 6.00954793866
3967.45717459 0.999999989466 6.18489539636
4150.6512962 0.999999987072 6.04783318165
3920.09828781 0.999999989746 6.22242586725
4270.8917196 0.999999985879 6.01513233261
4099.20444574 0.999999986585 6.01301366869
4631.23421952 0.999999988566 5.67963612831
4144.24522399 0.999999987846 6.25825481499
4179.89603285 0.999999986728 6.28118723796
3682.41541483 0.999999980329 6.19732935367
3867.527593 0.999999988977 6.20265808858
4285.62140732 0.999999980979 5.76059946807
4612.1915363 0.999999991115 6.10805213951
4524.12729916 0.999999989175 5.82933574585
3682.63769286 0.999999987219 6.33033796695
4402.00187756 0.999999988941 6.02019098422
3201.6063445 0.999999986318 6.59629382119
3769.86006612 0.99999999093 6.46370378184
4068.36672496 0.999999980051 5.75319769248
3500.26609255 0.999999984314 6.54760030389
4023.03495007 0.999999990198 6.32333704761
4640.15562597 0.99999998785 5.74023588998
4040.73757277 0.99999998814 6.17076642779
3835.44187109 0.999999984821 6.1080086259
4117.17690648 0.999999989943 5.97047423577
4662.63621216 0.999999984453 5.69859726353
4675.86829787 0.999999984978 5.77733177906
4028.42493345 0.999999986029 6.09681881866
4135.37594991 0.999999984474 6.02633545246
4350.58061122 0.99999999134 5.92826594183
4144.7419916 0.999999990512 6.21021008947
4299.60318773 0.999999986964 5.88069281651
4258.71878276 0.999999985473 6.13296577712
4262.18709595 0.99999998493 6.15299080404
3989.03002764 0.999999987335 5.9347440465
4040.51425755 0.999999986372 6.19553890385
4291.21838306 0.999999989832 6.04297703325
4180.26536861 0.999999989535 6.2455940148
3910.49333566 0.999999987789 5.73862680171
4657.20411722 0.999999987815 5.77079242853
4151.77489582 0.999999986538 6.14334928484
4290.30334368 0.999999983792 5.73183579627
4722.01093193 0.999999988513 5.94686400844
3705.28378535 0.999999987798 6.27805679394
3704.61338531 0.999999984227 6.18571469277
3942.23981927 0.999999987352 6.19892329913
4145.50387247 0.999999987904 6.25698105637
3857.49053273 0.999999987506 6.28994778683
4259.58850684 0.999999984633 5.71091213439
5108.86846966 0.99999998537 5.508366326
3770.20356372 0.99999998515 5.99263373662
4124.70084275 0.999999983023 6.13427937924
3989.89909077 0.99999998766 6.11145024477
4243.88657262 0.999999980192 6.18254119186
3795.81056629 0.999999989979 6.31963853731
4321.06797103 0.999999988341 6.20002919859
3813.2438319 0.999999986019 6.22306874772
3714.7127682 0.9999999836 6.01237109898
3956.27117148 0.999999982675 6.0705256532
4244.0006238 0.999999990089 6.10020822706
4106.27398447 0.999999991647 6.26116628233
4207.55861757 0.999999990996 6.2183734695
4696.7344242 0.999999984574 5.60214389689
3898.14995416 0.999999986723 6.30875349683
3762.92738252 0.99999998508 6.31769768378
4298.3072334 0.999999986482 5.76109781034
4329.38816614 0.999999984633 5.97157955504
4187.30896959 0.999999987935 6.2031910715
4125.69796565 0.999999988923 6.35977531567
3852.65101724 0.99999998594 6.10257700218
4306.88639849 0.999999988921 6.10984423786
4367.75676839 0.999999987606 6.05213748378
3658.82848691 0.999999989567 6.35780412016
4580.7814937 0.99999998955 5.93777613396
4206.14640631 0.999999978414 5.92079926063
4287.3762417 0.999999987912 6.26711332807
4659.83852698 0.999999988172 5.85779385439
3858.47800006 0.999999985432 6.1481537889
4284.78959177 0.999999986744 5.83429887094
4121.96080478 0.999999988565 6.20929589127
3964.7110523 0.999999988812 6.22518370982
4090.27595358 0.999999988741 6.04662434516
3725.03454585 0.99999998782 6.51514881309
4223.17835274 0.999999981038 5.9771703845
