"D" "sigmatoa" "ssb0" "ssb1" "sigmass"
4467.89831428 0.00166857471173 169.448131081 -2.4828896609 7.08643292285
4568.23285915 0.00223019249179 169.085882918 -2.49020204689 7.41921542803
4591.0910568 0.00193111426849 170.048757444 -2.52020054619 6.92154176326
4614.34616884 0.00199974958259 169.739346804 -2.44826136839 6.73495566257
4489.86979822 0.00224925983949 169.793750895 -2.50031989808 6.99563579271
4619.52682014 0.00186178563122 169.756517874 -2.46300051773 7.17908798278
4729.15870143 0.00215239816526 170.541992777 -2.57903884306 7.19477090181
4269.04644094 0.00198875597102 169.089350017 -2.43466454939 6.79475220027
4410.4377362 0.00194858180147 169.938385291 -2.45844383609 7.0652102385
4512.00733467 0.00221743622353 169.895777546 -2.45390409169 7.07686834666
4411.06379956 0.00201974234559 169.686111543 -2.33125702012 6.73184139042
3997.51680208 0.00196407269337 168.869813188 -2.43071543569 7.01072443028
4981.07099197 0.00238008514564 169.837822763 -2.58640864736 6.68037204645
4534.77096253 0.00203895322293 170.809217778 -2.56529733595 6.93261438888
4537.303912 0.00240844520993 168.259637867 -2.40683603298 6.62788251199
4910.81711733 0.0021114100246 171.187661153 -2.60957739135 7.05353407521
4143.83013276 0.00217000512559 170.249690576 -2.5032831307 7.14107415546
4098.40799286 0.00191220411727 169.801954231 -2.48884471941 7.31297974007
4375.0894729 0.00185025508248 169.368712318 -2.40364919331 6.64521440328
4626.01849584 0.00202342412825 170.250317256 -2.49350363351 6.88568685477
4275.22987613 0.00206424105031 169.139520334 -2.36902764246 7.14224256346
4312.07584124 0.0020797915834 170.230386122 -2.58660345203 7.288586426
5041.0107481 0.00185549961507 170.62673698 -2.6637806332 6.97622732302
4040.61746141 0.002597899601 169.716024927 -2.49712209222 7.13063812426
4460.88241299 0.0019787908534 168.064113358 -2.29740249693 7.36879110204
4267.23616434 0.00182119065384 170.021226988 -2.46019595387 6.95693094699
4369.6430878 0.00203228547324 167.557511375 -2.09588148426 6.52431064025
4208.34159071 0.00194897621375 171.017123164 -2.53528708669 6.95358327413
4762.8075392 0.00189094915837 170.616550022 -2.52467935442 6.72778756126
4220.74653197 0.00215361114497 171.127621669 -2.63703103682 7.77478629919
4077.51594098 0.00178406819318 169.539183691 -2.47978421389 6.5507198372
4406.67577023 0.00182438152363 169.577628462 -2.5105384507 6.98450676359
4656.23981139 0.00195781416634 169.765494259 -2.49417143519 7.08496354974
4483.67957021 0.00206395665003 171.677954772 -2.60265684804 7.00314200905
4576.48953331 0.00211304421183 169.824674241 -2.41111358409 6.74182212123
4640.30715433 0.0022262285182 169.988515729 -2.50813955862 6.27262511773
4408.58092391 0.00201457684423 169.791177139 -2.441337061 6.7702463377
4088.059933 0.00210553645075 170.02003635 -2.39784966492 6.94320218235
4260.92532932 0.00211600962308 170.090244388 -2.51234276881 7.37020728436
4700.41591001 0.00182825861117 169.855790358 -2.56052529797 7.35963787966
4699.56394654 0.00208001330049 169.781730492 -2.48753605035 7.01372256218
4561.03064792 0.00182471735499 171.318694725 -2.53940676307 6.90582427764
4165.33418788 0.00198454901956 169.370928991 -2.40334414366 6.72493181683
4844.10484292 0.00206226414834 169.643201905 -2.53851050379 7.32035041546
4706.0093561 0.00176684087361 171.633372289 -2.66087920063 6.79843235833
4180.39369915 0.00208320803385 169.646063662 -2.41170230364 6.563516584
4686.2841493 0.00198791355599 169.491900211 -2.39123063865 6.764978317
4432.49132722 0.00194771063722 169.280501479 -2.46099798247 7.25478838685
4777.395259 0.00205337160608 170.05767315 -2.46351401016 6.83616981482
4997.87351498 0.00203029024148 169.277865457 -2.48953310242 6.70688120086
4316.78871904 0.00222991636822 169.956031261 -2.50649164501 6.70295660957
4360.86146018 0.00232047173698 169.891475906 -2.49525834923 7.18274339307
4628.86970524 0.00217592231455 170.355849837 -2.53277407831 6.79152873102
4492.7252842 0.00266360729584 170.316272495 -2.53668587455 6.75629687846
4343.53900847 0.00224481464528 171.133897437 -2.61426055362 7.3497511108
4392.88383924 0.00203759599193 169.160139655 -2.377888741 6.98712212382
