"D" "sigma" "kappa"
0.0478182660135 1212.72782315 48.0553179964
0.0604873984233 1039.42227541 56.2905517478
0.0393351906602 1229.88472322 129.257394114
0.0292625479403 1532.59997169 77.2742444972
0.0285865331406 1374.35846805 54.031314135
0.0708995140375 987.650968756 174.644598831
0.0298380653518 1266.45741655 58.0798915833
0.0623002927025 988.972593795 83.7485924536
0.0426135460252 1295.01497058 73.2006867899
0.0346795703265 1431.10266604 63.6606990397
0.0387716692085 1135.55908712 97.1923560256
0.0543500633388 1106.35688163 156.900478984
0.0466652827491 1166.08592347 120.291118255
0.0456601367826 1138.39534239 77.9464975637
0.0785913334411 947.1999442 87.9905463471
0.0263298605141 1565.91452701 39.8050072792
0.0278399692188 1426.37187519 43.9041661818
0.0526115317978 1146.9754268 75.2427760918
0.0328439997421 1349.80533128 58.5739552629
0.0498051100362 1103.91708453 61.0451699912
0.0487697549012 1320.31234815 59.9087877475
0.0304959502095 1361.09684994 67.0766189126
0.051639686971 1172.53323023 126.578447242
0.0341565442596 1477.17923243 134.424563622
0.0256197951742 1465.57690763 72.28766573
0.0303687519576 1484.51520213 64.3419571908
0.0371943142952 1346.30813543 47.8637214402
0.0564356339439 1146.75520223 60.557179965
0.0408596767532 1378.39152227 68.6116827997
0.0530738231141 1134.60355355 98.8184391045
0.0381925324699 1361.85209396 44.68852421
0.0391025378743 1206.41026178 55.261325424
0.0326966176356 1382.04579163 106.233141717
0.0306358161062 1419.11393613 86.2819498412
0.0722152670996 1002.34608981 53.4289584209
0.0387145426828 1344.06078409 62.9794842746
0.0447908043988 1191.14126525 83.246458757
0.0422537671518 1316.37537268 91.4960441423
0.0406112699025 1218.52317637 68.324523069
0.0478600548082 1298.75198591 93.8438318755
0.0414871248466 1187.67799903 77.3670378877
0.0373384878571 1308.59268255 76.2427626046
0.0452697435094 1143.48635465 185.021864346
0.0385859844076 1362.96339853 76.9975487297
0.0404047129088 1130.57149101 49.9927295549
0.0282588841216 1404.57382867 72.4058422415
0.0593509741353 1130.10306544 96.7902895399
0.0529386534609 1136.10853251 69.3879057713
0.0351914442032 1293.15506298 181.468981226
0.0389500987019 1280.38282728 68.6743282602
0.0447183179375 1239.95804616 98.8604645389
0.0384611953397 1381.66550957 70.6922233978
0.0347890438679 1310.39396704 80.6335042486
0.0283353174257 1402.6253631 50.5313883753
0.0551995116282 1083.06602251 77.5348980906
0.0406085221005 1253.11204504 61.418072542
0.0393176935454 1256.76514268 112.254692641
0.0414615564104 1188.05758431 64.3857245262
0.039554043374 1261.5970799 53.1350978204
0.0427409441173 1169.48198244 65.8345870117
0.0328486682299 1359.45647208 49.0061869826
0.0539447764236 1020.30027568 104.968799907
0.0493681873159 1108.99407881 67.1186544075
0.0466558069956 1294.56290328 65.1575005325
0.0318639226116 1429.38724908 106.968660887
0.0430504409898 1165.11196866 79.9010505047
0.0415459333603 1246.81499399 64.0590227389
0.0371783881459 1209.74982643 65.3705227171
0.0453308446335 1151.01763969 59.2859199602
0.0494469243328 1199.20380805 67.8930672267
0.0334263450252 1267.9442156 77.7757845444
0.0429069335617 1201.24302555 93.7303420176
0.0440020297976 1151.96304626 88.4985767739
0.0413070855299 1250.53516652 58.8362109671
0.0438281466675 1188.09474141 68.1881617376
0.0438084624133 1154.60339167 58.8196430086
0.0474083161617 1187.74998493 76.4401397404
0.0350874440613 1314.07666223 110.813888407
0.0410769585013 1311.73995768 60.9973210869
0.0636368846507 1038.68000775 54.4831269575
0.0418945544922 1298.48007705 165.390618426
0.0336087380148 1243.81744588 68.608845405
0.0519392140408 1132.78661575 57.6988454483
0.0284933077133 1420.2435785 112.024336698
0.0447734793685 1223.44460261 57.426612669
0.056573351559 1025.43389555 90.0085002997
0.0415198320169 1204.64654416 84.3658413325
0.0331025595823 1429.44959556 80.6572013639
0.0341637496071 1406.46236319 102.406731767
0.0492316409861 1216.4761694 67.6644238243
0.0654728105065 997.166415783 56.2840738546
0.0647280284927 1048.78160928 128.929054324
0.0382041787095 1301.96596553 72.3384058958
0.0421568724374 1245.72356318 96.9532357126
0.0529884247591 1218.90200942 86.7234618923
0.0530176458291 1191.42178349 56.7950506771
0.0442803238521 1222.49349177 59.5119984118
0.028163382737 1471.32238069 48.183401101
0.0456309434682 1211.49270493 65.6742915667
0.0526300891757 1117.69077159 62.2343497003
0.0661495969112 1030.60386234 113.792903033
0.0334540284364 1356.33466346 80.4657976278
0.0615297091056 1009.48373448 58.0227329544
0.0454977167053 1221.15297641 55.8426623105
0.0437945846254 1171.80065247 45.2989410808
0.0455177839864 1189.27348261 71.5760456774
0.0580713199749 1123.23189331 53.2773041476
0.0345425854587 1315.2040944 80.2707125554
0.042852749127 1150.45554371 58.0074988198
0.0477664630072 1112.00215721 98.356777974
0.0679265255155 1022.64085937 54.7559295653
0.0304749669944 1432.93658808 81.9160906211
0.0462614724306 1293.0128799 55.6710302443
0.0556405310714 1121.03684373 57.0006862598
0.0598869509538 1085.57558 44.8158675805
0.0375809494635 1286.41918236 74.5105119559
0.0410678102636 1158.06249233 61.1222521773
0.0415722567482 1177.59926278 51.4950993576
0.0533640243106 1041.78787057 70.2113975741
0.0456681747973 1323.353023 105.021442595
0.0581972026126 1060.60815639 56.9380797478
0.0271060673906 1378.01680615 130.012516612
0.0382318787739 1369.4431542 87.8745813699
0.0356834506388 1235.71141924 56.0417005672
0.0506820696522 1205.43886367 114.492888259
0.0494956520214 1130.95986384 72.2947680409
0.0522405729786 1227.89849767 87.8424086412
0.0416191969776 1194.47122681 58.0094631916
0.0424007495781 1225.44411758 46.4123002899
0.04918780383 1172.80250996 128.038097617
0.0519280896061 1110.60756145 78.3869469013
0.0663778809695 1059.96305199 120.559675226
0.038054676077 1287.01417723 83.2704188398
0.0378109599186 1334.95853835 89.5534860127
0.046281312116 1202.64779745 43.0626887248
0.0412228418067 1285.01880204 79.7141334227
0.0390133203521 1338.75135687 67.3514512575
0.0328009397421 1321.02027406 50.1112536396
0.0286330292809 1316.89243639 102.829594399
0.0431947755342 1163.08997424 108.489640518
0.04868044301 1148.53910767 55.4188368084
0.0474908390391 1239.33980857 55.4887803576
0.0406820077625 1268.85058544 59.2337244516
0.0435281310995 1280.90606224 74.1270750688
0.0376002451397 1295.01396446 102.949098837
0.0502474284403 1167.31300112 58.8938177941
0.0489227991451 1183.59954013 78.6549795676
0.0359430485375 1325.45247486 59.3204803454
0.0276980161029 1419.1171148 60.3167988084
0.046572551371 1143.13417655 84.6336867858
0.0699050983766 937.391099987 82.8691360592
0.0531956867444 1096.74393124 98.2762681221
0.0235889863198 1564.86816469 53.0522042413
0.0300745428561 1549.07639822 54.0444667499
0.0379067666145 1456.36994785 108.419747407
0.0377876341329 1335.38279783 59.895123263
0.0514664921791 1108.21438571 81.7905658201
0.0417730461333 1331.97670441 82.9992387776
0.0573844194385 1089.40505098 104.016490658
0.0607011163556 1110.55090934 44.3518661916
0.0595394178404 1147.42289826 77.9515539709
0.0358642671117 1299.32651542 40.9564850311
0.0209612993629 1624.66323806 56.7430516365
0.036526426328 1305.43988527 84.6698280406
0.0421711332521 1261.90369766 55.7835607186
0.0449949355552 1155.47175171 46.9637193217
0.0490140372733 1072.74432978 58.4786329863
0.045926035197 1326.65716904 88.3508765547
0.0319019144435 1309.27584502 119.518850501
0.0434178193398 1282.58433612 99.229455598
0.0311232761785 1417.52500427 44.08542024
0.0317936843519 1411.79103969 62.5152744995
0.0343634953826 1402.25493201 44.1680077985
0.0404890065919 1321.52113223 73.4440214398
0.0210373996001 1697.09163039 104.991610605
0.0430548929842 1232.22291807 61.5396614346
0.0621778240006 1158.50847459 49.8518383359
0.0521975629386 1187.17881953 71.7176719242
0.036136815762 1339.82425652 120.259045367
0.0554259527163 1137.1211061 131.045002589
0.0405582345486 1253.91448855 94.5046194412
0.0428905577721 1209.86053437 64.1542375877
0.0383862053255 1227.24637421 63.6981242156
0.0445469883203 1265.69933115 49.7791252598
0.0380290188229 1233.19441608 55.490864901
0.0378159614733 1334.86764383 91.350456425
0.0389340892859 1306.48236192 61.6608927512
0.0437304636947 1238.44982512 65.689489963
0.0343754802401 1187.67031074 57.2592234853
0.0482406115054 1251.07625497 67.7532918688
0.0613244011127 1104.65906801 44.8319076421
0.0558967983011 1068.77450098 49.1249093661
0.0238761788118 1458.4023573 68.1231974134
0.030362212744 1321.62302196 57.2876176651
0.0420664170164 1263.52495144 88.3686591811
0.0377216091696 1210.22713874 52.6969703588
0.0284959889019 1503.6378499 66.5824475289
0.0354779927658 1361.58554447 86.2674035845
0.0277054545972 1483.75595237 72.3265778468
0.0464030203151 1312.51283714 40.5823794161
0.0494560281616 1242.16459242 61.8314897909
0.0357394835948 1292.30925093 86.3734234148
0.0395000254727 1305.23543384 80.1312140463
0.0497854812931 1237.90853308 54.086590599
0.064941269029 1053.32621472 76.186875029
0.0229947227925 1474.06595376 81.4427670945
0.0339399508498 1346.3052598 80.6765962065
0.067226990641 1015.60348147 58.6388853538
0.035800684639 1291.16931597 50.6862129809
