"D" "sigma"
0.0842837688531 951.365050648
0.0569708447085 1086.5478869
0.0482043127636 1250.00001151
0.0727738869166 936.897618571
0.0125144339336 2526.45794838
0.0259543719849 1467.30276737
0.0526707955029 1131.86553525
0.0219320561712 1673.04981893
0.0504383090849 1040.45104468
0.0435752933736 1287.93919134
0.052628129632 993.02425703
0.142696221506 674.979881726
0.0605679395527 1072.54844397
0.0378872988538 1159.16182788
0.0676110945008 1025.1370772
0.0270284905568 1586.23540682
0.0932219024197 804.413237263
0.0966809077241 800.065551782
0.0705427494196 919.68434966
0.049358833687 909.366106937
0.0255121146431 1591.49575177
0.0512938191921 1094.84058777
0.0578070258328 1014.65763998
0.0215139517312 1615.70236259
0.0101237518368 3081.70358643
0.0696339153006 1039.74586271
0.0462515026278 1226.19197334
0.0500799124392 1116.35861216
0.038479680553 1314.41166057
0.0642938258189 979.62429718
0.00938328859057 3000.47335686
0.146770207099 544.934234075
0.0679008627102 917.841598878
0.0396675470249 1335.54694699
0.0923257970076 814.335331657
0.0608699479709 993.981910771
0.120384530122 690.492838723
0.0126277766022 2454.46317934
0.0272034728077 1550.26059243
0.141425771094 660.206643549
0.0299942459758 1444.68558639
0.0551676315741 1068.80721643
0.0128226373963 2393.96790552
0.0108099806884 2730.05548202
0.0250678977576 1595.03212441
0.0133072275421 2629.76237773
0.0819892487236 885.572367047
0.0122015508808 2431.13722641
0.0444644765452 1102.39720782
0.165093055893 651.442941706
0.04282623145 1250.00000222
0.0889770646051 847.895975826
0.0351952966771 1446.1226769
0.00895777341192 2766.35383722
0.0717223835878 843.05870623
0.015303824874 2081.81920143
0.0133045907624 2270.88034661
0.0446847003843 1232.59575657
0.0880671313652 799.21120121
0.0311717651691 1464.75939494
0.00745518091705 3205.22042094
0.0253887799673 1540.67040672
0.0710923986347 967.562540777
0.0176811343344 1965.74812267
0.128753085971 629.766230421
0.0189259663497 2008.35453946
0.111732878505 734.916925257
0.0328460703081 1444.35735866
0.0584533976777 1022.5950899
0.0141129941067 2292.49978511
0.144157635829 620.800012475
0.0121415211218 2578.2359894
0.0302144365083 1419.15521908
0.0759913298953 993.210038794
0.0875203132189 937.922637298
0.0334584748796 1365.7695116
0.0534415511844 1101.49235581
0.00865152949281 2842.11791027
0.0232514785203 1691.81120139
0.0545400613561 983.439732429
0.0168821290281 2042.88285951
