"D" "sigma" "se.D" "se.sigma" "logLik" "AIC" "maxgrad"
1703.26331379 8.65273382701 199.55 0.5143 -834.356 1672.712 -2.88773e-07
1546.75240169 9.48274039524 184.37 0.57193 -928.473 1860.946 -3.47889e-07
1433.4211087 9.11439659291 175.09 0.55731 -800.366 1604.732 -0.000549069
1352.16801878 9.61302811022 165.7 0.58807 -849.294 1702.588 -7.42307e-06
1388.80488565 9.48621082785 174.49 0.60281 -825.299 1654.598 -7.29554e-07
1245.54923777 9.72208396454 163.35 0.64434 -792.211 1588.422 -9.31746e-05
1496.25388857 8.78547547676 183.31 0.54213 -781.48 1566.96 -2.62511e-06
1155.44510669 10.4375241948 157.5 0.72865 -853.623 1711.246 -0.000595324
1494.37473989 9.10400617504 180.23 0.55148 -826.241 1656.482 -6.04067e-05
1484.29925924 9.51335339952 177.88 0.57376 -910.791 1825.582 -0.00047509
1534.67149919 8.79503353292 191.15 0.55867 -787.747 1579.494 -0.000905427
1381.61053727 9.99654422979 176.08 0.65184 -898.898 1801.796 -4.04562e-05
1490.22505014 8.80693495013 177.48 0.52118 -771.054 1546.108 -2.82473e-05
1142.40072678 10.5347083527 153.58 0.7223 -846.728 1697.456 -0.00208781
1446.71367509 9.44873356487 174.88 0.57327 -862.286 1728.572 -0.000309357
1240.82733381 9.98274690065 163.86 0.67025 -810.478 1624.956 -0.000412552
1501.83378838 8.76572552321 182.24 0.53379 -755.658 1515.316 -3.10641e-06
1450.79803043 9.02428786305 175.78 0.54612 -804.015 1612.03 -8.40079e-06
1241.12610523 9.68883606721 159.89 0.62575 -757.707 1519.414 -8.46395e-06
1557.35048865 8.8111477667 186.57 0.53128 -810.734 1625.468 -1.33967e-06
1208.79138134 10.6855918894 156.69 0.70717 -877.136 1758.272 -0.000976561
1167.48377849 10.1281925466 160.29 0.71077 -781.118 1566.236 -1.4059e-05
1293.05382733 9.56116343712 170.04 0.63893 -777.408 1558.816 -1.53371e-06
1285.94146294 10.1052177407 171.47 0.69265 -844.922 1693.844 -7.93164e-09
1343.79574212 9.77259128442 176.24 0.65687 -823.017 1650.034 -6.69943e-05
1459.68892942 9.39867415592 180.67 0.58992 -844.334 1692.668 -4.83172e-05
1186.87739225 10.6710301713 165.43 0.77347 -857.252 1718.504 -3.28771e-07
1419.50443162 9.21709503882 172.74 0.56027 -803.333 1610.666 -1.06305e-05
1201.85688418 10.4103234591 167.35 0.75112 -822.81 1649.62 -0.00048287
1332.99093082 9.44126543124 173.06 0.62244 -788.439 1580.878 -6.32642e-05
1396.13921665 9.67438997546 170.26 0.59224 -859.019 1722.038 -3.01379e-05
1502.87274697 9.53387386949 179.22 0.57262 -901.313 1806.626 -3.88952e-08
1451.98418692 9.38108414238 179.02 0.58492 -859.001 1722.002 -0.00148778
1493.51504879 9.24792578776 186.35 0.58837 -853.71 1711.42 -2.20637e-06
1401.59538743 9.65206730887 174.18 0.60668 -874.054 1752.108 -0.00506285
1618.86172287 9.33590306742 193.27 0.56807 -922.362 1848.724 -6.88296e-07
1627.85370413 8.82627962233 190.89 0.5212 -833.679 1671.358 -9.08768e-06
1555.46481818 9.25171641231 189.65 0.57464 -883.059 1770.118 -0.000330336
1442.29539515 9.92906719228 176.78 0.61835 -948.13 1900.26 -0.00508527
