"D" "sigma" "z" "se.D" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1484.88121159 11.4297292852 5.43801844493 170.8 0.71148 0.45897 -770.309 1546.618 -3.61411e-06
1379.07099252 11.0195213895 4.82880264218 172.01 0.71952 0.39481 -741.876 1489.752 -8.51755e-08
1462.26714204 11.8133990033 5.29013249989 171.58 0.7596 0.43098 -802.421 1610.842 -1.27472e-05
1727.57291541 10.6977239714 5.75938511708 183.83 0.60907 0.47105 -783.756 1573.512 -2.7233e-05
1552.34741374 10.3821473525 5.53327179806 181.68 0.6273 0.53699 -660.518 1327.036 -9.96224e-05
1452.43899109 11.1878002558 5.29337311152 169.53 0.72566 0.42492 -764.681 1535.362 -5.59786e-05
1849.13412672 10.2745059418 5.39049557969 196.08 0.58647 0.42041 -822.133 1650.266 -8.29332e-06
1726.7373242 10.0593296401 5.33517979883 184.9 0.55982 0.40482 -777.358 1560.716 -5.91493e-05
1495.12102561 11.2250495041 4.58663352178 181.92 0.71682 0.3502 -866.311 1738.622 -4.33035e-05
1686.87110071 10.9867518096 5.31720462069 181.03 0.64019 0.40003 -855.738 1717.476 -2.43694e-06
1771.39410983 10.8934761126 5.41213260857 186.13 0.61749 0.41871 -859.778 1725.556 -1.44334e-05
1704.55108627 11.8276050141 7.33122461802 176.22 0.6749 0.73039 -765.475 1536.95 -7.71947e-05
1591.7576336 11.7031531031 6.07974518911 172.94 0.70514 0.50174 -804.62 1615.24 -1.51769e-06
1486.59209786 11.0325671917 4.97067376234 175.07 0.70444 0.38575 -785.988 1577.976 -9.99266e-06
1371.62067353 12.1071140413 5.58847076211 161.46 0.79285 0.44737 -773.838 1553.676 -1.16236e-05
1533.51095778 11.6641058394 5.60293545759 172.24 0.71132 0.45685 -803.139 1612.278 -9.84258e-06
1811.35478349 11.1018040934 5.8953623372 187.36 0.63662 0.47053 -856.435 1718.87 -1.0389e-05
1758.66231317 10.8578211388 5.24650595393 190.15 0.62919 0.40103 -851.487 1708.974 -3.27063e-05
1563.73320728 11.3496324 6.49065333231 173.12 0.67087 0.6432 -710.136 1426.272 -1.14192e-05
1704.98778473 11.3944536663 5.63763447633 185.01 0.68822 0.43771 -875.63 1757.26 -1.95659e-05
1652.0285311 10.7308036982 5.11080120007 187.1 0.64505 0.39722 -807.527 1621.054 -1.2013e-06
1491.32387856 11.7427961196 5.30587703575 172.6 0.753 0.4096 -822.855 1651.71 -0.000109181
1848.69617648 10.2496719288 5.1876806273 198.32 0.56021 0.41335 -815.894 1637.788 -6.9411e-06
1772.18198682 10.3730458193 4.97819426587 190.93 0.586 0.40167 -820.54 1647.08 -3.39672e-05
1911.99905462 11.1258322166 6.0913310901 191.46 0.59942 0.48946 -893.31 1792.62 -0.000122799
1725.87762501 10.5316836239 5.65327596731 187.6 0.60893 0.46879 -776.627 1559.254 -7.28619e-05
1602.02011261 11.4555757411 5.8486346869 173.67 0.68687 0.47013 -817.662 1641.324 -2.31328e-06
1640.11877733 11.0433978783 5.50556383961 180.09 0.64948 0.4533 -801.094 1608.188 -8.878e-05
1449.11060353 11.2960408622 5.31669794309 169.56 0.72801 0.41991 -770.378 1546.756 -1.12238e-05
1626.11879021 10.4989031187 5.24866062543 181.88 0.62297 0.40724 -763.143 1532.286 -5.86721e-05
1361.75997702 12.2686930117 5.46618603352 162.45 0.83621 0.41853 -832.61 1671.22 -1.32455e-05
1766.58758026 10.7102009518 5.7363713425 189.44 0.61205 0.47482 -798.825 1603.65 -5.22358e-05
1809.69602841 11.0289839916 5.74251518986 187.46 0.61788 0.43132 -881.334 1768.668 -1.5278e-06
1804.6069266 10.151297728 5.47950547881 191.58 0.55165 0.44912 -765.806 1537.612 -2.01259e-05
1689.82896957 11.7554948723 5.89483544534 181.03 0.69224 0.4688 -866.971 1739.942 -1.85991e-07
1780.59471997 10.4495370498 6.06388469232 184.2 0.56722 0.54547 -738.805 1483.61 -2.60389e-05
1410.44190511 12.506072887 6.04385912625 158.92 0.7987 0.49897 -813.481 1632.962 -1.04089e-05
1683.30999049 11.1832067284 5.60240039646 181.2 0.65398 0.44087 -831.904 1669.808 -8.99318e-06
1378.62854329 11.921335888 5.24637264151 163.37 0.78271 0.41519 -788.291 1582.582 -2.59659e-06
1751.02184333 10.4275307097 5.83844737979 185.82 0.57386 0.54962 -729.045 1464.09 -1.17253e-05
1718.7092282 10.4009690657 5.48382247192 182.91 0.58091 0.44749 -781.71 1569.42 -6.61032e-06
1510.05299498 11.2376158053 5.6937761891 171.62 0.67848 0.50948 -726.71 1459.42 -2.05882e-05
1839.13096105 10.4218630499 5.87594817341 192.34 0.56738 0.48706 -784.328 1574.656 -9.37113e-07
1512.86594272 12.6169086578 6.07493329194 167.34 0.76871 0.52526 -836.983 1679.966 -3.76094e-05
1321.33324053 11.9009786635 5.18041739028 161.18 0.80299 0.42572 -761.297 1528.594 -3.61899e-06
1481.29413797 11.3807394889 5.51936398557 173.16 0.71862 0.45936 -753.704 1513.408 -5.6734e-08
1519.09611225 11.7227481959 5.36530021122 174.3 0.72835 0.42693 -817.831 1641.662 -2.3572e-05
1607.42327557 11.0031248185 5.15604232533 184.16 0.64662 0.41838 -800.025 1606.05 -7.0775e-05
1600.11544603 11.251248329 5.24920466559 179.61 0.68459 0.41133 -821.302 1648.604 -1.03262e-05
