"D" "g0" "sigma" "z" "se.D" "se.g0" "se.sigma" "se.z" "logLik" "AIC" "maxgrad"
1560.23504252 0.878598235163 11.5719404576 6.9769552393 198.48 0.062415 0.99975 1.9119 -685.882 1379.764 -7.53107e-05
1519.68496036 0.882875485138 13.3880746404 7.17089015406 183.93 0.041661 1.119 1.2324 -866.674 1741.348 -3.93193e-06
1367.77571176 0.93396313722 12.2548753797 7.40837631084 183.33 0.044494 0.91642 1.8394 -640.072 1288.144 -1.87941e-06
1391.94789695 0.974470501077 11.000799053 5.09740101256 177.68 0.045954 0.81554 0.66142 -700.037 1408.074 -2.32736e-05
1714.51698405 0.981729488651 11.2118022047 6.52484267976 186.78 0.024992 0.72085 0.91509 -751.162 1510.324 -4.95929e-06
1704.23957607 0.984615710612 11.4895214094 6.46583116725 186.07 0.037467 0.77045 1.0101 -773.075 1554.15 -1.08541e-05
1766.81686448 0.928404309041 11.7842205615 8.14134408107 200.34 0.05074 0.90427 2.7085 -760.643 1529.286 -2.79011e-05
1323.39106621 0.925127083211 13.8588510622 6.40903618998 169.73 0.03771 1.0639 0.94751 -837.884 1683.768 -1.6262e-05
1940.87777828 0.963022889739 10.9364416876 7.4024731369 202.1 0.031526 0.67059 1.473 -767.187 1542.374 -7.3139e-06
1772.44186589 0.887152115522 12.4653050314 8.35299608377 206.79 0.04792 0.91002 2.5546 -817.427 1642.854 -9.44919e-05
1408.07866935 0.961195267307 12.6482720329 6.31601724391 177.12 0.043851 0.94099 1.1003 -764.579 1537.158 -2.33475e-05
1456.11036299 0.882620709363 13.9940856807 7.56433245338 180.94 0.044842 1.1484 1.6269 -848.811 1705.622 -5.32242e-06
1659.30694168 0.952876057576 10.8871389926 6.21882230123 192.95 0.042238 0.80898 1.061 -716.816 1441.632 -8.80608e-06
1430.00567199 0.940130510116 11.9713825265 6.18280687979 175.07 0.056328 1.0827 1.1965 -728.225 1464.45 -2.77553e-06
1535.01747622 0.95154078347 12.0774525095 5.10829366828 184.15 0.044081 1.0165 0.63182 -912.465 1832.93 -1.10905e-05
1577.53332697 0.873146733103 14.2338880538 19.0208514189 170.97 0.028681 1.0062 14.109 -786.022 1580.044 -8.75101e-05
1436.91864389 0.904727961738 13.0031852949 6.80798199367 181.45 0.05103 1.2434 1.3941 -797.819 1603.638 -7.4948e-06
1858.99029309 0.925448931488 11.6362737587 7.71553959563 197.18 0.039819 0.8511 1.742 -794.768 1597.536 -4.70416e-05
1990.40914076 0.963909404545 10.4960225716 5.95289019503 204.81 0.051189 0.87133 0.96294 -838.359 1684.718 -1.88394e-05
1733.44682575 0.948373125217 11.4553552899 8.52875348962 183.55 0.032872 0.765 1.9071 -723.756 1455.512 -3.82984e-05
1832.3614949 0.956992990967 10.9226810254 5.48026746436 201.28 0.039011 0.76978 0.69903 -865.043 1738.086 -6.49107e-05
1476.38595574 0.848034240403 13.6064509449 11.4358256452 176.84 0.039103 1.1325 4.7607 -720.428 1448.856 -7.01139e-05
1720.81716567 0.857359757725 12.0696476862 8.9153410509 193.9 0.047155 0.9435 2.7314 -742.154 1492.308 -2.05556e-05
1258.06192291 0.914817935319 13.2073243206 6.65085477695 165.2 0.042202 1.1217 1.1802 -729.78 1467.56 -1.41305e-05
1541.67419892 0.90519118377 12.7548012824 7.36855823009 180.95 0.042865 1.0397 1.4762 -788.735 1585.47 -3.81085e-05
1862.32127971 0.899577829544 11.5340581711 7.8207855543 208.25 0.047901 0.86155 2.0057 -783.663 1575.326 -2.27648e-05
1750.0745187 0.982545192449 10.7251121 5.67976006388 215.93 0.039255 0.63892 0.84787 -768.175 1544.35 -7.01692e-05
1635.69575113 0.954089100751 11.0559095875 7.02095619639 183.28 0.035565 0.75715 1.2381 -688.108 1384.216 -3.77803e-07
