"D" "ssb0" "ssb1" "sigmass" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "logLik" "AIC" "maxgrad"
1610.88196649 5.08574324431 0.0178906496713 9.52936262411 148.22 0.0080016 0.00090932 0.43604 -2503.98 5015.96 -1.75843e-05
1743.82598422 5.08292333641 0.0187884140755 8.83530331103 155.21 0.0072465 0.00086586 0.39898 -2432.53 4873.06 -4.9958e-06
1750.81867515 5.08055178054 0.0176876921847 8.57876092669 149.57 0.0070475 0.00078974 0.38385 -2558.26 5124.52 -0.000205583
1808.2678669 5.09196351397 0.0183926743754 8.96431217048 152.14 0.007291 0.00082889 0.39352 -2689.47 5386.94 -0.00294409
1868.51421078 5.08163382475 0.0177173909665 8.08435179365 153.69 0.0066603 0.00074314 0.35514 -2666.2 5340.4 -0.00179255
1899.54210836 5.08958127741 0.0192197398884 9.43568260255 162.86 0.0077102 0.00090409 0.4288 -2610.83 5229.66 -3.5986e-06
1745.47498257 5.07909789346 0.0188017713855 8.77611570954 156.82 0.0077106 0.00091658 0.42683 -2252.12 4512.24 -4.29381e-05
1480.6146126 5.08128872528 0.0169276858729 8.3872535704 135.3 0.0074156 0.0008158 0.39797 -2249.07 4506.14 -4.74295e-06
1784.30359725 5.08605579317 0.0183357082611 9.27033047037 153.35 0.0074819 0.00085789 0.41184 -2677.78 5363.56 -2.3167e-05
1546.5989344 5.09832665579 0.0178829039948 8.68103846975 135.22 0.0072466 0.00077467 0.37372 -2586.41 5180.82 -0.000776645
1851.24264312 5.08816707032 0.0185977146935 8.88422587703 155.61 0.0071452 0.00085178 0.38818 -2635.76 5279.52 -0.00250996
2078.04976813 5.0831905434 0.0186408446713 8.53431666504 164.27 0.0066353 0.00081402 0.37071 -2800.66 5609.32 -7.88319e-05
1535.26957035 5.09729135778 0.0180388769491 8.90197825862 138.94 0.0080418 0.00082022 0.39935 -2436.66 4881.32 -2.90412e-05
1759.22226823 5.08328159551 0.0170667418344 8.59156134844 145.8 0.0062054 0.00073052 0.34438 -2932.82 5873.64 -6.50171e-06
