"D" "ssb0" "ssb1" "sigmass" "sigmatoa" "se.D" "se.ssb0" "se.ssb1" "se.sigmass" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1708.76189323 161.91093762 2.56150628052 9.14691305614 0.00167548164232 126.85 1.007 0.097325 0.34836 0.00010253 -1080 2170 -1.52188e-05
1790.51078606 160.547826349 2.49839243682 9.42715599305 0.00167397092299 131.39 0.98397 0.096087 0.34561 0.00010098 -1129.53 2269.06 -0.000313471
1691.45230165 159.063481852 2.28213631938 8.56674447993 0.00181829284962 125.73 0.92394 0.087871 0.31619 0.00011254 -1081.73 2173.46 -0.00121101
1766.49370469 160.773719086 2.49678564008 8.82016269341 0.00193990453701 129.06 0.92297 0.094282 0.31339 0.00011588 -1058.54 2127.08 -0.00101271
1583.36081668 158.787133582 2.30340989646 8.52073483992 0.00184563327399 121.72 0.94559 0.090915 0.3313 0.00012037 -993.294 1996.588 -9.50628e-05
1729.78980838 160.67664752 2.55676516215 8.74684866581 0.00192039013025 132.84 1.0674 0.10648 0.36339 0.0001465 -1065.11 2140.22 -1.17571e-05
1715.79673691 160.45970879 2.36846291399 9.25021731245 0.00194828009836 126.24 0.99154 0.092767 0.33971 0.00011883 -1174.09 2358.18 -4.35418e-05
1596.01582216 159.79012165 2.3584818342 8.93524098067 0.00173304967599 121.97 0.98594 0.094467 0.34008 0.00010893 -1036.26 2082.52 -5.2132e-05
1669.5680988 160.694886742 2.51646606689 9.2992070116 0.00201137612121 126.87 0.99714 0.097877 0.34746 0.00012483 -1054.51 2119.02 -1.31973e-06
1944.45707303 160.566055657 2.52553373366 8.5219469604 0.00185713544543 137.82 0.93599 0.090856 0.31573 0.00012011 -1161.23 2332.46 -0.00239189
1884.50468906 160.800056762 2.45421267348 9.31224611047 0.00186316119755 132.87 0.93191 0.089927 0.32651 0.0001078 -1233.28 2476.56 -0.000270731
1814.7512174 160.758599398 2.47048721094 9.10033667272 0.00180752661727 129.9 0.90454 0.091285 0.31382 9.9338e-05 -1107.77 2225.54 -2.38742e-06
1670.49285109 161.053245352 2.5012244841 8.62356010587 0.0019373791238 124.82 0.89418 0.093194 0.31247 0.00011108 -966.85 1943.7 -0.00126915
1734.29429292 160.333983784 2.39464209011 8.79628377806 0.00168811696288 126.28 0.93918 0.09081 0.32255 9.8219e-05 -1091.88 2193.76 -1.5131e-05
1662.11351724 160.309935658 2.52501140772 9.67292204064 0.00209305143772 130.15 1.0729 0.10504 0.3798 0.00014151 -1065.12 2140.24 -2.64402e-05
1837.21113256 159.583139244 2.45022290558 8.90144957293 0.00181494322904 134.14 0.95128 0.093619 0.32799 0.00011433 -1118.9 2247.8 -7.03399e-05
1677.40539556 160.053673063 2.40597945854 8.95430060488 0.00174457220337 125.27 0.96785 0.092781 0.33459 0.00010895 -1045.45 2100.9 -5.79091e-05
1560.90520022 160.038518283 2.40528331209 8.77760991982 0.00208407257007 122.65 1.0027 0.097573 0.35241 0.00013648 -997.374 2004.748 -0.00332063
1853.25128587 161.943003417 2.57706510862 9.22856655982 0.0017824758558 132.29 0.95393 0.094903 0.32466 9.9802e-05 -1146.06 2302.12 -6.45091e-05
1811.97831701 159.032253693 2.31289752991 8.50800106922 0.00171543153016 130.69 0.90176 0.087457 0.31025 0.00010268 -1120.8 2251.6 -0.000810939
1624.89121283 159.679395158 2.39224879772 9.62010098557 0.00172770099338 125.45 1.0609 0.10178 0.36973 0.00011624 -1084.94 2179.88 -0.000173776
1612.77877442 159.471765681 2.40197463084 9.16942531637 0.00182138166216 124.84 1.0078 0.095677 0.34949 0.00011777 -1022.24 2054.48 -0.00111798
