"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1560.20719911 0.999999993845 9.34599786096 177.22 6.1547e-06 0.52641 -917.881 1841.762 -6.75561e-05
1599.06408612 0.999999990596 8.87669334866 186.47 9.4041e-06 0.51828 -845.161 1696.322 -2.82334e-07
1167.53693651 0.999999990784 10.0448668826 157.69 9.2145e-06 0.68865 -764.727 1535.454 -4.19831e-05
1269.33833167 0.999999991316 10.0557927918 168.6 8.6845e-06 0.6838 -852.703 1711.406 -0.000325385
1388.00938915 0.999999993651 9.7797819816 167.11 6.3494e-06 0.58849 -888.232 1782.464 -2.05735e-06
1339.90891544 0.999999986524 8.86077645887 177.7 1.3476e-05 0.59842 -699.471 1404.942 -0.000135098
1354.50569224 0.999999991291 9.82477055479 169.1 8.7095e-06 0.61921 -887.818 1781.636 -1.18943e-05
1066.97678164 0.999999990502 9.87178140326 154.36 9.4977e-06 0.72875 -666.289 1338.578 -8.54153e-06
1232.46898819 0.999999985591 9.42780712527 172.26 1.4409e-05 0.67734 -713.399 1432.798 -5.84478e-06
1381.65460071 0.999999992745 9.34198604317 169.3 7.2554e-06 0.57134 -787.012 1580.024 -2.48925e-05
1418.01362799 0.999999992584 9.39371489547 175.88 7.4155e-06 0.588 -809.216 1624.432 -0.00262703
1437.68066599 0.999999992035 9.12273929586 175.57 7.9657e-06 0.55806 -793.248 1592.496 -0.000271957
1082.11207939 0.999999991965 11.0996842066 159.32 8.0359e-06 0.86043 -862.777 1731.554 -0.00040205
1581.15122741 0.999999992121 8.77695878745 183.14 7.8792e-06 0.50533 -801.036 1608.072 -0.000291204
1402.96090655 0.999999990752 9.59857743705 182.41 9.2466e-06 0.64101 -843.003 1692.006 -0.000116649
1113.44147779 0.999999991941 10.5551560903 158.78 8.0593e-06 0.7789 -793.68 1593.36 -2.11034e-07
1124.77033372 0.999999990539 10.9860353983 167.31 9.4615e-06 0.86405 -871.706 1749.412 -5.13363e-06
1382.87668133 0.999999990254 8.98165947173 176.22 9.7448e-06 0.57788 -739.243 1484.486 -1.29486e-05
1195.55131256 0.999999989824 9.73964085367 161.87 1.0175e-05 0.66938 -747.475 1500.95 -0.000747143
1342.46107589 0.999999990846 10.2625162429 174.19 9.1537e-06 0.68511 -927.396 1860.792 -4.16203e-05
1294.3620214 0.999999992967 9.73685735277 162.59 7.0334e-06 0.61265 -830.212 1666.424 -4.05381e-05
1180.49623831 0.999999991632 10.2258574752 160.09 8.3675e-06 0.70851 -819.083 1644.166 -9.13424e-05
1505.52529986 0.999999992117 9.13388485255 179.17 7.8826e-06 0.54397 -825.067 1656.134 -0.000230076
1693.68131372 0.99999999113 8.72579766024 193.94 8.8697e-06 0.50163 -861.296 1728.592 -0.000283826
1398.64030011 0.999999992109 8.92061600386 169.33 7.8968e-06 0.53373 -759.815 1525.63 -5.41086e-05
1692.65168626 0.999999991314 8.83670428301 191.59 8.6894e-06 0.5002 -884.11 1774.22 -3.96196e-05
1256.12550323 0.999999989773 9.43114996939 165.47 1.0227e-05 0.62719 -744.051 1494.102 -5.02317e-06
1426.65184001 0.999999987842 8.91593362728 183.96 1.2158e-05 0.58652 -761.553 1529.106 -0.000103017
1071.43329542 0.999999990728 10.2410666843 149.37 9.2719e-06 0.72458 -749.189 1504.378 -1.4013e-05
1303.31492742 0.999999991213 9.69722487995 167.03 8.7869e-06 0.62771 -812.126 1630.252 -5.82231e-06
1520.54767129 0.999999990611 8.93911613812 187.37 9.3892e-06 0.55909 -808.663 1623.326 -9.43253e-06
1480.55892385 0.999999990454 9.10723934782 184.89 9.5462e-06 0.57827 -792.335 1590.67 -2.98545e-06
1407.27690137 0.999999991645 8.65414680536 170.06 8.3547e-06 0.51459 -717.472 1440.944 -1.87112e-05
1358.31194105 0.999999992281 9.53745593839 168.37 7.7198e-06 0.59266 -818.445 1642.89 -9.20284e-06
