"D" "g0" "sigma" "z" "sigmatoa" "se.D" "se.g0" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1715.43308841 0.983477646364 11.4063475727 5.53697202653 0.00213463796084 136.9 0.016378 0.32172 0.41818 0.00012517 803.83 -1597.66 -6.21807e-06
1636.74568301 0.944821636868 11.3765671716 5.73386515851 0.00172233667328 133 0.021898 0.37334 0.47054 0.00010429 743.493 -1476.986 -5.45651e-05
1476.91169626 0.956277074648 12.0213001865 5.85590345526 0.00191511905778 129 0.020467 0.36626 0.57921 0.00011332 715.841 -1421.682 -3.00532e-05
1627.07889487 0.938374868089 11.3989923166 6.05561347727 0.00205499699479 136.18 0.021397 0.39421 0.54058 0.00013553 628.291 -1246.582 -5.75074e-05
1330.18730782 0.926418616408 11.9079567783 5.77848900755 0.00180512211845 121.28 0.024381 0.41536 0.53598 0.00012015 649.524 -1289.048 -3.19952e-05
1676.29348957 0.935133376292 11.8350167576 6.13258446206 0.00175918132839 134.15 0.020329 0.36658 0.64103 9.7248e-05 886.418 -1762.836 -2.16794e-05
1621.93564856 0.928081462789 12.0369645736 6.89088748519 0.00186487596476 126.46 0.017873 0.33829 0.59252 0.00010617 950.92 -1891.84 -2.73672e-05
1494.61746169 0.954199880819 11.4983568818 5.12846648554 0.00180776352221 127.72 0.021486 0.40777 0.46315 0.0001116 749.805 -1489.61 -0.000133136
1675.60743598 0.96739795179 11.6370450586 5.89708230221 0.00208064478424 138.37 0.018027 0.37684 0.53067 0.00012923 661.03 -1312.06 -1.48302e-05
1744.37616514 0.958040319895 11.93240406 6.23542548249 0.00183881729288 138.39 0.017419 0.30732 0.53444 0.0001026 838.037 -1666.074 -9.12351e-06
1522.81973913 0.957987558159 11.8669872649 5.36301017462 0.00187494213488 132.18 0.02198 0.37857 0.46589 0.00011256 696.091 -1382.182 -1.15134e-05
1522.92844735 0.975863417427 11.8533775964 6.14507376904 0.00192000670363 124.9 0.013398 0.32768 0.54875 0.00011855 719.971 -1429.942 -0.000242549
1605.76544623 0.923456450041 11.7783993032 5.44707566052 0.00194053474956 136.81 0.025903 0.43901 0.49429 0.00012778 598.384 -1186.768 -1.88308e-05
1530.98297455 0.964581433156 11.4345283401 5.81024207865 0.00186736287544 129.13 0.019603 0.33464 0.50578 0.00011942 659.474 -1308.948 -1.1914e-05
1658.00989812 0.920602232542 11.2766769036 5.50547432133 0.00187055270717 138.8 0.035977 0.5916 0.66396 0.00012187 701.304 -1392.608 -4.86345e-05
1753.36613406 0.946721650271 11.246310965 5.70487203806 0.00180608602518 145.31 0.020951 0.34946 0.4848 0.00010951 642.59 -1275.18 -7.50173e-06
1619.26333699 0.911630782265 12.1276473709 6.53079281681 0.00169149282914 128.93 0.024199 0.40216 0.66048 0.00010228 744.574 -1479.148 -4.94392e-05
1779.90628861 0.976436523402 11.4078521284 6.04763227415 0.00186042799499 139.95 0.014064 0.29507 0.46285 0.00011639 626.522 -1243.044 -1.54115e-05
1621.99816657 0.952316633041 11.468372234 5.66758244026 0.0019202621715 135.63 0.021881 0.35885 0.48328 0.00012907 626.034 -1242.068 -5.01974e-05
1647.34610879 0.940551386405 11.0329863765 5.63123377257 0.00183527915087 141.24 0.022395 0.38089 0.49846 0.00011926 583.38 -1156.76 -1.42646e-05
1759.24447003 0.976381735155 10.8338005931 5.00249723074 0.00187912347904 143.07 0.016795 0.34837 0.37581 0.00011319 703.914 -1397.828 -1.2346e-05
1897.61799945 0.929966106411 11.6373035471 6.72736921304 0.00185824995946 142.66 0.021829 0.44507 0.70683 0.0001124 839.797 -1669.594 -9.89029e-05
1718.35376923 0.933626020768 11.0868577335 5.45705465763 0.00169383563842 143.28 0.023572 0.37904 0.4623 0.00010959 582.929 -1155.858 -8.09679e-05
1456.42046527 0.923847530861 11.6044826845 5.51298882023 0.00177958738301 130.91 0.026011 0.41556 0.54901 0.00011067 664.805 -1319.61 -1.59422e-05
1630.53898397 0.954459951048 11.572283568 5.86654468477 0.00192755379991 132.83 0.01886 0.35344 0.50324 0.00011394 758.546 -1507.092 -4.79491e-06
1785.0222539 0.951146167531 11.5686384552 6.42291932482 0.00205932100816 135.99 0.017612 0.32783 0.54457 0.00012786 869.894 -1729.788 -6.15319e-06
1270.04333773 0.999999976941 10.837336866 4.56659032971 0.00185973127453 122.6 2.3018e-05 0.36219 0.31314 0.0001325 440.466 -870.932 -7.30159e-05
1611.48842696 0.937705203497 11.524419791 5.38910353632 0.0018226639642 131.13 0.020826 0.38919 0.4238 0.00010995 775.732 -1541.464 -5.29786e-05
1264.43003166 0.979537777359 11.4578825636 5.3638449081 0.00164225494315 117.44 0.016714 0.39493 0.47701 0.00010712 595.481 -1180.962 -9.12884e-05
1287.62444649 0.933476915304 11.7565308731 5.13759163219 0.0015683924437 122.31 0.030298 0.48894 0.52671 0.0001132 435.903 -861.806 -3.04267e-05
1539.78837576 0.957799782776 11.9156579784 6.1782002382 0.00192707001467 129.29 0.018191 0.35781 0.57573 0.00011651 696.463 -1382.926 -1.18683e-05
1602.0746789 0.942439216575 11.9352244014 6.18644633238 0.001839338859 131.18 0.021023 0.38404 0.55582 0.00011527 674.401 -1338.802 -7.01487e-05
1680.73321426 0.953347299446 11.2677322855 6.20515257195 0.00195805021641 138.22 0.019154 0.32172 0.52921 0.00012592 646.47 -1282.94 -1.2807e-05
1622.92771786 0.956057642995 11.3500121381 5.46462102143 0.00183230306483 133.9 0.017919 0.30431 0.4225 0.00010336 829.683 -1649.366 -0.000101939
1672.06681652 0.976665785816 11.2039008108 5.80735176196 0.00192972012258 137.44 0.014529 0.32054 0.45865 0.00012879 597.674 -1185.348 -1.34847e-05
1690.88054462 0.950697942616 11.4175378007 5.79557808017 0.00172777911422 142.78 0.022587 0.3754 0.54717 0.00010892 639.189 -1268.378 -3.52401e-05
1476.4483595 0.915553687955 12.6684524138 6.75292623603 0.0018348168318 123.25 0.023601 0.44564 0.70546 0.0001085 725.994 -1441.988 -1.07079e-05
1594.2182836 0.951669461474 11.4354579966 5.22175215251 0.00183767707163 135.56 0.027114 0.43466 0.51672 0.00011342 745.509 -1481.018 -5.61874e-05
