"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
1753.58128054 162.612781308 -2.57682670264 9.5557016326 -2924.21 5856.42 -1.88374e-07
1441.67979097 158.202485052 -2.30583820745 9.66883697328 -2128.45 4264.9 -8.85783e-05
1730.12369515 158.542815074 -2.31386012476 9.44858620173 -2818.81 5645.62 -0.000126285
1422.32114942 161.05614065 -2.50122214301 8.77698655672 -2127.89 4263.78 -8.62791e-07
1538.42895792 158.370602964 -2.37873136902 9.52550432117 -2151.21 4310.42 -1.50384e-05
1620.84760635 160.83432037 -2.41823451147 8.54778848232 -2514.28 5036.56 -5.8109e-05
1691.42111891 161.420967065 -2.47361411216 8.64917514977 -2566.55 5141.1 -3.46493e-07
1631.87472272 161.987584074 -2.50094656969 8.45115154016 -2482.99 4973.98 -3.21017e-05
1638.61235255 159.397449514 -2.30244040068 9.26954705412 -2794.16 5596.32 -0.0019941
1814.30755051 160.732505175 -2.55269998859 8.62862180099 -2486.56 4981.12 -1.81522e-05
1688.025677 158.067336775 -2.22034560183 8.79821108918 -2594.79 5197.58 -4.32839e-05
1454.82952896 160.963497529 -2.29286355716 8.99533854126 -2549.81 5107.62 -0.000361989
1556.20747696 159.5353765 -2.20897412688 9.36917442503 -2771.46 5550.92 -1.35564e-06
1705.25757717 161.747346077 -2.69773051144 8.8944774257 -2310.76 4629.52 -7.60976e-05
1406.46280589 161.869286528 -2.42616253191 9.6124271685 -2364.96 4737.92 -7.13501e-05
1715.3930392 158.349423985 -2.19085247209 9.39334211828 -2913.19 5834.38 -2.97125e-06
1611.67206937 161.432635407 -2.47703557693 9.31729755388 -2711 5430 -2.48761e-05
1557.35053439 161.159322198 -2.42067300777 9.36152291133 -2660.59 5329.18 -0.00138172
1717.00941236 159.737753705 -2.37858482481 8.90303337092 -2596.1 5200.2 -5.03839e-05
1916.86402332 160.364584743 -2.52261067879 8.68168140343 -2633.68 5275.36 -4.23209e-06
1654.47359136 161.197430722 -2.59654357724 8.73801235224 -2390.28 4788.56 -0.000187419
1862.06872882 159.247696683 -2.40534200794 9.4797063362 -2739.37 5486.74 -0.000148753
1529.48008695 159.609950425 -2.42891654633 9.70205352033 -2357.53 4723.06 -6.20888e-05
1543.43244754 158.836949953 -2.32108948711 9.31519921312 -2316.94 4641.88 -0.000303424
1343.59410443 159.794069803 -2.23496218319 8.94664283561 -2390.36 4788.72 -1.4455e-06
1704.4615486 160.415642934 -2.48582355091 8.96589732721 -2568.13 5144.26 -3.36356e-06
1769.87966184 160.919495991 -2.54468344647 8.77260058011 -2505.95 5019.9 -7.04994e-06
1689.30211996 160.663643996 -2.44382064195 8.81632103245 -2424.31 4856.62 -7.61187e-06
