"D" "g0" "sigma" "sigmatoa" "logLik" "AIC" "maxgrad"
1369.45764551 0.999999993291 9.34119509733 0.00170286562073 592.221 -1176.442 -0.00228014
1418.58468972 0.999999993682 9.12179530316 0.00196083349002 612.739 -1217.478 -8.88825e-05
1624.68385382 0.999999993918 9.03549218846 0.00183700832879 568.54 -1129.08 -4.06771e-06
1471.03753456 0.999999994093 9.83653477851 0.00182421057704 712.881 -1417.762 -9.49262e-06
1436.72601257 0.999999994933 9.65229024548 0.00176424627685 819.74 -1631.48 -3.9904e-05
1321.48633628 0.999999995166 9.54140987521 0.00190504709785 757.271 -1506.542 -0.000511833
1402.129985 0.999999993797 9.64988817541 0.00164453670681 659.506 -1311.012 -0.00209158
1378.13194944 0.999999992934 9.20514847951 0.00202049311726 525.628 -1043.256 -8.48372e-05
1547.90341082 0.999999993978 9.07490461062 0.00178156847608 600.771 -1193.542 -0.00102796
1431.9067297 0.999999994214 9.26678066959 0.00169048954834 615.345 -1222.69 -0.00809195
1365.55796163 0.999999993524 9.10174329626 0.00205508817186 508.098 -1008.196 -0.00023274
1501.93175584 0.999999995047 9.44682402938 0.00179185482008 743.55 -1479.1 -5.95244e-06
1488.98275427 0.999999994423 9.49556824653 0.00166410780156 646.728 -1285.456 -0.0006558
1396.15982442 0.999999991968 9.30879794194 0.00165952966369 558.184 -1108.368 -8.82375e-05
1370.2833444 0.999999992163 9.21116174885 0.00180733891186 569.675 -1131.35 -1.90283e-05
1395.79754436 0.999999993067 9.50672171027 0.00168879100149 607.234 -1206.468 -0.00142559
1555.8849486 0.999999994241 9.1829114737 0.00179278862866 625.778 -1243.556 -0.00010812
1625.48182902 0.999999993972 8.94497591007 0.00198350725289 594.068 -1180.136 -4.70604e-05
1491.48724508 0.999999992757 9.34829663043 0.00159870211514 532.642 -1057.284 -7.26324e-06
1414.15004461 0.999999992075 8.91253861674 0.00172036318524 467.758 -927.516 -7.97985e-05
1394.62015918 0.999999992846 8.93608814912 0.00194201407178 486.588 -965.176 -7.87184e-05
1535.22592524 0.999999994047 9.09676711247 0.00194925436348 615.032 -1222.064 -2.22107e-05
1540.16970768 0.999999994546 8.75232576918 0.00189424968489 695.854 -1383.708 -0.00158213
1556.77644309 0.999999993839 9.0893487094 0.00192886513983 594.749 -1181.498 -0.00181137
1760.8455903 0.999999994002 8.81543686981 0.00187392904527 595.019 -1182.038 -3.74491e-06
1487.07101699 0.999999993624 8.84260838589 0.00198022459541 571.203 -1134.406 -0.000433768
1655.51583353 0.999999995085 8.97723215788 0.00172536102627 835.646 -1663.292 -8.4176e-05
1553.99473168 0.999999995557 9.50028257283 0.00167440222243 890.538 -1773.076 -1.20128e-05
1770.32934001 0.999999993438 8.99058842994 0.0018725858475 657.224 -1306.448 -0.000545848
1320.72270985 0.999999994013 9.57028719525 0.00170290597734 648.405 -1288.81 -4.10441e-05
1517.7451814 0.999999993662 8.90169892346 0.00175175716155 571.325 -1134.65 -1.12634e-05
1371.34435363 0.999999995269 9.99316421834 0.00174593523528 862.86 -1717.72 -0.000416759
1717.04342423 0.999999994502 9.03345896768 0.00172792826159 659.819 -1311.638 -4.38633e-05
1640.24779617 0.999999994301 9.02734824242 0.0018425061421 652.425 -1296.85 -1.20557e-05
1356.69027262 0.999999994156 9.26618053164 0.00189368592474 617.546 -1227.092 -0.00010148
1503.70243825 0.999999995246 9.50818505728 0.00207046714773 759.643 -1511.286 -8.87706e-05
1483.67170932 0.999999994491 9.09578304468 0.0016855286944 715.65 -1423.3 -4.42587e-06
1231.8028984 0.999999993916 9.99938344798 0.00186622203802 678.936 -1349.872 -4.97671e-05
1438.86610699 0.999999993796 9.0691263172 0.00200274379858 596.917 -1185.834 -5.94496e-05
1135.87405265 0.999999990363 9.74938052636 0.00175244355693 626.859 -1245.718 -5.67708e-05
1411.98169877 0.999999995098 9.6099321701 0.00172243531105 848.099 -1688.198 -3.77641e-05
1347.20080092 0.999999995451 9.50867374254 0.001823680984 906.234 -1804.468 -7.81929e-06
1323.70284059 0.999999994468 9.73490438021 0.00173788772817 726.38 -1444.76 -0.000923681
1475.68328972 0.999999994473 9.4077883292 0.00203481918537 620.7 -1233.4 -0.000973218
1434.94324978 0.999999995117 9.82169315317 0.00178723454369 788.045 -1568.09 -0.00154737
1342.19181185 0.999999994173 9.87789546747 0.00182885784294 665.566 -1323.132 -8.62262e-05
1295.18804584 0.999999993931 9.65580999964 0.001866992555 672.019 -1336.038 -0.000828852
1472.38011968 0.999999992705 9.44357349291 0.00187107441207 577.001 -1146.002 -1.34351e-05
1346.37901755 0.999999994031 9.30845966609 0.00180897952173 624.872 -1241.744 -0.000168836
1474.97364166 0.999999993037 9.19925527306 0.0018176018135 680.321 -1352.642 -9.00514e-05
1556.37404477 0.999999993852 9.13607132129 0.00177868765272 610.672 -1213.344 -4.78886e-05
1439.37261702 0.999999994261 9.28634244162 0.00166173328986 713.419 -1418.838 -0.000109607
1556.8869609 0.999999994221 9.22428610976 0.00182810837579 577.151 -1146.302 -0.000759013
1474.58814239 0.999999994068 9.20069295859 0.00187711373112 595.83 -1183.66 -0.00143233
1476.87832395 0.999999993331 8.95242161522 0.00180833464314 557.255 -1106.51 -0.000305612
1586.81077633 0.999999994611 9.27411006315 0.00182995935072 674.877 -1341.754 -5.67758e-05
1650.41306715 0.99999999544 9.03705438829 0.00178035564624 796.136 -1584.272 -0.000111889
1581.16671191 0.999999992804 8.93708310012 0.00168273052159 558.855 -1109.71 -0.00320487
1289.44016008 0.999999993293 9.47183684488 0.00173564820849 643.292 -1278.584 -0.000228327
1439.97224054 0.999999994337 9.33209965052 0.00189300060627 720.793 -1433.586 -9.37439e-06
