"D" "shape" "scale" "logLik" "AIC" "maxgrad"
2002.42744197 -1.99286383664 -0.184376687668 -811.388 1628.776 -2.28539e-05
1652.95822561 -2.54600019217 -0.197657415574 -796.805 1599.61 -6.43757e-05
1691.10091545 -2.47822336629 -0.194558467851 -816.452 1638.904 -3.56867e-05
1521.12673125 -2.35734176512 -0.178686731669 -782.882 1571.764 -9.48609e-05
1409.33442666 -2.14226715277 -0.164746727224 -731.07 1468.14 -6.56128e-05
1627.86089178 -1.98926493535 -0.155353697957 -871.478 1748.956 -8.90258e-06
1709.05541136 -2.29029776043 -0.191989253574 -753.512 1513.024 -1.98276e-05
1679.42120461 -2.27261327608 -0.18093785717 -823.894 1653.788 -1.13057e-06
1760.07564319 -2.46947824695 -0.19983435584 -799.823 1605.646 -7.9044e-05
1847.82878207 -2.36922589417 -0.190829406156 -882.202 1770.404 -2.21309e-06
1613.24449321 -2.27529816926 -0.188358144426 -728.143 1462.286 -4.09561e-05
1349.09412289 -2.30282738123 -0.16558778855 -780.054 1566.108 -8.10693e-05
1915.05698128 -2.15207714892 -0.178909303145 -873.427 1752.854 -1.08878e-05
1682.73785461 -2.35474559409 -0.177090547664 -890.574 1787.148 -8.20728e-05
1606.55920688 -2.22167060805 -0.168370328191 -845.902 1697.804 -2.94646e-05
1626.67608753 -2.27939148798 -0.17325115467 -828.885 1663.77 -1.6492e-05
1228.04222167 -2.64718242133 -0.183409285413 -702.62 1411.24 -9.2049e-06
1801.54435413 -2.60872937377 -0.214447882836 -786.3 1578.6 -1.13658e-05
1672.27036038 -2.25838349659 -0.190581341776 -737.07 1480.14 -4.39586e-05
1652.76295008 -2.49236044061 -0.195875993812 -789.876 1585.752 -5.03814e-05
1961.54849785 -2.70591560059 -0.245274027267 -715.811 1437.622 -6.66175e-05
1441.33624717 -2.07594248875 -0.159676471515 -772.06 1550.12 -4.15434e-06
1763.53962689 -2.45252131236 -0.201297733685 -793.915 1593.83 -3.02492e-05
1593.31096968 -2.45503906787 -0.1861039704 -802.462 1610.924 -1.6207e-05
1249.43673532 -2.40450280127 -0.174187312831 -710.174 1426.348 -1.53329e-05
1781.53047039 -2.26516048175 -0.192719455126 -776.956 1559.912 -2.46045e-05
1579.13316474 -2.35121918103 -0.187183733643 -747.182 1500.364 -0.000146168
1504.05778291 -2.20968821628 -0.166022769868 -787.429 1580.858 -1.18472e-05
1709.68507408 -2.10240657313 -0.173533012948 -794.704 1595.408 -0.000272269
1748.2365488 -1.94463938259 -0.158600409881 -876.103 1758.206 -2.84603e-05
1503.8788304 -2.6195643141 -0.208597284569 -696.38 1398.76 -9.65615e-06
1690.37946587 -2.35746150247 -0.184079447638 -838.912 1683.824 -1.16007e-06
1714.49706031 -2.30060091355 -0.187957749728 -808.599 1623.198 -2.5168e-05
1921.02391891 -2.70226736719 -0.219890628268 -829.619 1665.238 -3.92036e-05
1639.87626436 -2.52450119205 -0.193012497575 -810.16 1626.32 -4.23753e-06
1583.78712186 -2.38226292281 -0.180863243351 -812.648 1631.296 -4.05067e-05
1844.46914892 -2.21248677224 -0.187942755802 -801.722 1609.444 -1.10545e-08
1526.95406232 -2.14224575696 -0.170928239351 -764.598 1535.196 -5.29171e-07
1667.9572734 -2.44355917651 -0.19275090204 -786.346 1578.692 -6.54928e-06
1855.41098873 -2.54723934354 -0.211939553533 -795.678 1597.356 -1.05424e-05
1802.99692079 -2.56058525778 -0.211849687249 -787.625 1581.25 -2.26889e-05
1851.69930907 -2.30074326192 -0.18460989009 -889.758 1785.516 -2.4458e-06
1937.31568941 -2.35532087579 -0.2161250073 -721.506 1449.012 -2.92753e-08
1724.64413382 -2.20727993845 -0.173558552835 -862.023 1730.046 -7.73427e-05
1783.08968428 -2.29694230171 -0.190479152495 -805.695 1617.39 -9.53916e-07
1839.01254202 -2.5175942996 -0.211699509492 -793.903 1593.806 -0.000152891
1843.87538744 -2.12222438627 -0.197489343962 -715.275 1436.55 -7.16302e-05
1715.44293333 -2.58459807747 -0.194128953038 -863.886 1733.772 -2.02955e-05
1487.88576797 -2.45073016594 -0.187305637092 -746.992 1499.984 -1.25563e-07
1550.01478618 -2.28405001512 -0.177377906387 -770.445 1546.89 -9.57379e-07
1536.25468888 -2.26321640636 -0.181540349983 -745.026 1496.052 -3.41426e-08
1685.69641306 -2.58389201447 -0.197640632909 -822.965 1651.93 -0.000101171
1595.37063085 -2.9185164058 -0.223964092123 -757.458 1520.916 -0.000211591
1585.43981958 -2.16253275284 -0.176519820336 -762.266 1530.532 -1.76225e-05
1657.76368192 -2.64822651944 -0.214873342987 -735.439 1476.878 -7.96556e-05
1881.68019744 -2.03261193751 -0.182781035589 -786.63 1579.26 -1.25687e-06
1747.410464 -2.44252183214 -0.199375421895 -794.583 1595.166 -6.44961e-05
1859.86397519 -2.29220564244 -0.181285467542 -919.26 1844.52 -3.23436e-05
1604.55360508 -2.23711431599 -0.180602062288 -760.753 1527.506 -4.79057e-06
1715.84370086 -2.55908274727 -0.193584548675 -860.388 1726.776 -3.90289e-06
1594.33303789 -2.33677633337 -0.178328786748 -809.076 1624.152 -1.36866e-05
1440.86674004 -2.17836952679 -0.168308245715 -749.218 1504.436 -2.2559e-06
1619.71896078 -2.13637147411 -0.178972315943 -747.586 1501.172 -7.30144e-06
1759.8123981 -1.9176214104 -0.158423403184 -851.735 1709.47 -0.000211903
1215.9974668 -1.87830489963 -0.140790957596 -705.862 1417.724 -2.46008e-07
1665.7658782 -2.53794152554 -0.20108497058 -794.241 1594.482 -9.79106e-05
1523.18439368 -2.35833606913 -0.179429075473 -789.634 1585.268 -6.37354e-06
1724.71178768 -2.63459188973 -0.217050999806 -746.009 1498.018 -7.8073e-05
1703.16886092 -2.23212215733 -0.177006766147 -838.836 1683.672 -0.000120599
1899.17914051 -3.12256300892 -0.26399136137 -757.435 1520.87 -3.81379e-05
1676.92984216 -2.26038362338 -0.18048799232 -807.255 1620.51 -2.19136e-07
1777.46769813 -2.16921201686 -0.182550538248 -792.739 1591.478 -1.1173e-05
1767.14789817 -2.42299508756 -0.199562193626 -777.12 1560.24 -2.06853e-05
1925.39330034 -2.14081789984 -0.189501839513 -817.373 1640.746 -9.98629e-05
1546.0391103 -2.75073206339 -0.211664155408 -736.141 1478.282 -1.40278e-09
1539.21022261 -2.40994679467 -0.192535131243 -729.486 1464.972 -4.32856e-06
1963.61674254 -2.07177910072 -0.184926383712 -818.11 1642.22 -2.36294e-07
1901.47451738 -2.55540976869 -0.226270821326 -742.088 1490.176 -7.59234e-06
1751.98063479 -2.11556024124 -0.175220975595 -819.675 1645.35 -5.23865e-05
1484.40824941 -3.00098945134 -0.221934219921 -741.117 1488.234 -1.23232e-05
1573.3205748 -2.20816093351 -0.171334312885 -810.817 1627.634 -8.07272e-05
1772.19953266 -2.45002674674 -0.204841772108 -766.949 1539.898 -6.62232e-06
1525.83908694 -2.35141030206 -0.178165509475 -797.282 1600.564 -3.82854e-05
1841.23214936 -2.0546138201 -0.168071510634 -886.79 1779.58 -9.62187e-06
1305.03154595 -2.28520005738 -0.169739781521 -721.379 1448.758 -4.03458e-06
1502.21321581 -2.58270509537 -0.191035565762 -798.064 1602.128 -1.83354e-05
