"D" "sigma" "z" "sigmatoa" "se.D" "se.sigma" "se.z" "se.sigmatoa" "logLik" "AIC" "maxgrad"
1649.60958643 10.057897676 4.66181058108 0.00192922921379 144.22 0.26854 0.29244 0.00012796 589.118 -1170.236 -2.46707e-06
1493.90993329 11.1832685698 4.48407602591 0.00185278216227 125.13 0.26873 0.2425 0.00010754 887.849 -1767.698 -0.000185112
1836.52013463 10.0955902247 4.46669447457 0.00183755647613 149.03 0.23805 0.23521 0.00012058 677.466 -1346.932 -5.42062e-07
1759.56611272 10.1687759278 4.5478150187 0.00195492242173 148.28 0.24966 0.25628 0.00012033 672.272 -1336.544 -0.000341612
1507.64077735 10.5017850472 4.78428993575 0.00195425649434 132.32 0.27361 0.28827 0.00012129 643.528 -1279.056 -5.64351e-06
1697.46520437 11.1641720729 5.23459462684 0.00216693963069 135.26 0.27025 0.31809 0.00012671 802.693 -1597.386 -0.000300941
1599.36757256 10.4020314462 4.70008258461 0.00173070311095 134.86 0.25652 0.25983 0.0001072 738.75 -1469.5 -6.72297e-06
1352.39916683 11.2450238166 4.56680274471 0.00201341680093 124.67 0.32615 0.33871 0.00012548 699.936 -1391.872 -0.000121846
1608.09275209 9.78470960725 4.41635298472 0.00214826840135 145.01 0.26896 0.26213 0.00014759 611.911 -1215.822 -0.000868645
1212.59170418 11.101555256 4.54081863652 0.00196949562993 116.98 0.35014 0.31032 0.00013566 639.202 -1270.404 -3.18936e-05
1514.45322267 10.3163578213 4.13406835703 0.00176612806863 131.36 0.23932 0.21538 9.7096e-05 866.03 -1724.06 -0.00296906
1560.00445309 10.1610948086 4.48401801839 0.00199352158236 134.02 0.22586 0.24239 0.00012008 920.5 -1833 -0.00701446
1423.68387187 10.662325226 4.27672708543 0.00181248407255 125.33 0.26416 0.24559 0.0001125 745.125 -1482.25 -7.84381e-07
1627.89110518 10.8067263584 4.85049394772 0.0020688344963 138.22 0.27617 0.28366 0.00012944 653.904 -1299.808 -0.00129404
1619.29047683 11.3486376968 5.0128076442 0.00187942777081 132.52 0.2847 0.30028 0.00010683 828.357 -1648.714 -7.10231e-07
1433.18984126 11.408059939 4.65146135376 0.00190211921043 127.09 0.34808 0.28712 0.00011509 692.906 -1377.812 -0.000158019
1461.50633364 11.3018127608 5.17490822987 0.00213384750455 124.06 0.33199 0.38142 0.00015109 700.297 -1392.594 -0.0026231
1489.58140956 10.5685261018 4.16733800331 0.00200877906902 135.06 0.31967 0.24799 0.00013027 586.269 -1164.538 -2.47786e-06
1449.64121343 10.6278771816 4.65615544441 0.00187788808236 129.25 0.31547 0.34317 0.00014308 648.401 -1288.802 -0.000260292
1534.53190422 10.0124333191 4.12478969871 0.00197294288138 137.99 0.27615 0.24881 0.00014076 683.564 -1359.128 -1.61413e-05
1660.37999225 10.2671061823 4.48776550868 0.00189574756291 144.5 0.29649 0.28702 0.00012514 631.195 -1254.39 -0.00289125
1560.8299952 9.88071521221 4.15053846435 0.00176904008406 138.05 0.24163 0.22931 0.00011612 718.889 -1429.778 -3.64119e-07
1721.80678508 10.8404178371 5.12828308792 0.00190026952694 139.76 0.28885 0.32586 0.00012662 618.051 -1228.102 -0.00093852
1565.19244122 10.7687532063 4.808808074 0.00197341870321 133.03 0.28887 0.29105 0.00013108 622.273 -1236.546 -2.78728e-05
