"D" "g01" "sigma1" "g02" "sigma2"
1.9843794552 0.999999246346 207.661814537 0.420915426428 301.063682314
1.95956285642 0.802287269283 219.285989857 0.350053398292 265.519119591
1.99287155667 0.950223412229 199.486948071 0.287247134937 246.594187474
1.76539986518 0.999999594857 209.779708641 0.329533440654 315.284736362
1.49358019841 0.997082233257 214.835311264 0.369138746926 306.288867858
1.91910771719 0.884855431879 204.425930224 0.35920902255 284.120043767
1.9762413983 0.999999848747 198.555421823 0.313045982422 325.632955763
1.51996584763 0.83579953032 229.887739543 0.393848759024 334.563140588
1.96091347049 0.999999184317 196.976322572 0.333689690584 326.753972346
2.16316180524 0.678868994059 229.701120894 0.187919713531 334.219340137
1.34642624827 0.999999095984 223.691740036 0.334125730824 302.144941958
2.3087831591 0.690726721348 213.122117512 0.211914789749 295.433752287
1.57902375619 0.914083143868 219.817267856 0.258708631147 323.988994805
2.21497031827 0.999999776253 193.666601099 0.186057114179 328.915976927
2.28883236808 0.756434417225 215.918143942 0.298749830913 318.821684795
1.98961036535 0.996252372629 192.95735634 0.26303300501 292.474890848
1.42581641493 0.999999835836 232.741768861 0.275396764462 346.887103101
2.2129969135 0.999999818074 196.588234868 0.16375823441 343.66735923
2.11275715256 0.999998836698 171.660869592 0.300566316388 308.012143562
1.49521746651 0.999999885718 249.989698503 0.257762100467 373.239935331
1.39048660364 0.999999381518 220.159760412 0.21896394476 421.18050311
1.40006013449 0.999999855748 226.415897325 0.380215032565 298.41900542
2.00046976206 0.606001075022 211.86655277 0.203722054386 347.297607369
1.76258052598 0.603323848146 233.380782323 0.206477128446 361.684029472
2.15373504586 0.961587652899 203.643849805 0.247807704602 282.937303078
1.88528354039 0.692101817699 244.79135517 0.414649709857 283.771044755
1.35560840886 0.861061492874 231.340740671 0.298897718896 329.280269149
2.05606768833 0.629482163095 216.5798889 0.389166152453 235.572710934
1.6824762028 0.999999642734 213.145934497 0.406451221203 296.80866842
1.79339134099 0.770017206938 209.377993431 0.305606061996 319.214268982
2.17719786089 0.999999458142 204.67028077 0.31518713633 273.603469088
1.79634774278 0.952962137333 207.784838926 0.299939415804 308.102075282
1.86853917339 0.765855206159 213.919348618 0.193622147755 374.371190135
1.73282714289 0.999999780351 216.306681806 0.346394843748 317.925833941
1.6801357805 0.886074401401 194.159755172 0.356344052448 298.736534774
2.56313444913 0.688088439374 218.637721008 0.17970992272 330.705163133
1.80029719465 0.999999660962 212.150086574 0.24077840965 330.624527261
1.59522013932 0.936489889665 206.192166232 0.27123410155 337.551041368
1.63492797078 0.999999482759 209.315222574 0.315659826114 329.039601651
2.0011554358 0.909409400881 201.831201285 0.300030421877 290.549760783
1.29669648352 0.794727045036 236.578696873 0.23972370212 378.689089042
1.73883880072 0.912074920854 218.809861324 0.253259971414 321.180348767
1.77371563548 0.84699520746 206.926308243 0.258907892937 333.751852612
2.38530158958 0.999999849559 181.111356345 0.230131914354 334.485332914
1.87327597323 0.970291217232 215.536034654 0.322073309894 314.856670907
2.41580399574 0.79637990532 211.190696425 0.281425672681 319.650772727
1.57059262818 0.999993082088 222.095744747 0.242229602398 339.694278688
1.4736707854 0.999999542474 205.142719827 0.27586500437 336.167373092
1.70319769399 0.999999849713 213.859331396 0.397609909762 279.937455772
1.6639502276 0.999998943479 195.510946163 0.189534762185 354.06397839
1.91079145284 0.880247025133 203.252930412 0.139199004552 362.536906652
1.68023989167 0.999999873843 203.377736822 0.275309968341 320.77805271
2.1163489905 0.999999452292 187.310475295 0.189000420812 340.3559325
1.89933499484 0.999999109411 208.983597463 0.297600300279 312.075072864
1.69897846902 0.933186241923 200.4795884 0.226255486591 351.223311035
1.39334576099 0.999997392411 220.401543476 0.366175194524 331.723773773
1.79019525315 0.928417204585 212.098953992 0.344997135467 343.368550005
2.39493313514 0.999999722733 194.008563993 0.153290707133 348.328147856
1.45768199178 0.999999863409 228.672425832 0.354843017783 320.418931571
2.07802237084 0.999999837409 212.490026944 0.227374880805 336.577516268
1.65450724787 0.999999733177 217.11106907 0.575364409318 260.6795649
2.03533122023 0.999997599306 202.694733775 0.22567704175 291.022923995
1.57601313666 0.927556750385 215.212658473 0.0992906239913 483.488125516
1.21638046302 0.999998945274 238.917670273 0.402344032434 337.720396954
2.23160662172 0.999999247706 203.911613407 0.188093583439 364.557187121
2.86563203722 0.710470212174 197.82358096 0.133884503537 334.055240889
2.0889287855 0.920798153577 204.474299133 0.302333806736 300.868431167
2.38706928668 0.695561602867 212.715192784 0.18376001348 317.498633452
1.95203159747 0.999999850789 181.61842162 0.358453136939 310.353602238
2.0434106407 0.767824205347 223.773925955 0.216937952294 345.118270217
1.28806431632 0.521368879538 280.787555441 0.279345126367 347.877947912
2.22238235037 0.999996736613 193.886154689 0.163607956716 357.1531378
1.27105990178 0.999999086713 248.756485996 0.533407977575 274.264162989
2.09864921552 0.919315394892 202.216787825 0.343749481034 313.172080437
1.94282640531 0.999998988618 216.71120921 0.233418104841 346.937853322
1.27075303058 0.999995905425 212.913327447 0.336410838092 342.964440305
1.7564599275 0.747303171124 233.943974365 0.15512545085 389.78018227
1.77362728393 0.999999839655 203.721854871 0.465202984446 292.067585804
1.96622220727 0.928981249702 230.01304304 0.222893317436 355.61330664
1.65395921403 0.999999762042 205.614686776 0.301083715471 342.92385951
2.1724934629 0.815835776515 230.610425001 0.382472375065 265.011407334
1.96574482803 0.948518709286 211.046512706 0.199630474581 296.936918169
2.5438190554 0.794949912253 199.977696351 0.30782342667 291.563610163
2.14115065122 0.530013149417 214.567358213 0.199107432456 372.045106201
1.99412675261 0.999999507591 195.384823131 0.221916813356 316.507687603
2.20751548152 0.999999326956 196.936938385 0.195755715906 313.9530204
1.37594172167 0.99999984442 231.350157211 0.204471612427 404.005860161
2.83671958701 0.611927425802 215.934909982 0.191408366498 309.558521688
2.1052897925 0.999999621754 186.267624711 0.21817974009 314.333341662
1.98948086894 0.865855254108 204.40684868 0.288238525419 296.179125858
2.52578740145 0.786917137648 207.794382911 0.188581647957 378.571662537
1.98254080375 0.999999744685 185.227561311 0.294067477015 276.126776692
2.15208385557 0.973758152167 195.098445023 0.148698586486 398.259552651
1.74932497377 0.831561767359 215.015134548 0.161457260771 397.369469702
1.79309680992 0.999210413727 218.267019965 0.342757996883 330.448294366
1.69924036508 0.703807752441 257.702241726 0.384456952488 286.549245249
1.6706103112 0.76257125674 239.497346304 0.219538479798 334.258777404
