"D" "g0" "sigma" "kappa"
0.0345992401396 0.99999992198 1467.44637509 74.7413990386
0.0425295465512 0.86626845881 1278.30933152 83.7673016829
0.0467228256085 0.896740688422 1228.99599395 37.4535748745
0.0550699041924 0.999999962521 1161.43550438 98.7704151013
0.0426414625831 0.999999917182 1153.41237599 90.9661737034
0.042939446443 0.999999909384 1200.77192178 68.2763516212
0.0385709297834 0.897764635031 1329.25997875 112.467276221
0.0485365414526 0.965685479901 1274.47084935 31.9626916816
0.0531209687349 0.999999910248 1067.43025942 91.2783990183
0.0397440524935 0.999999878163 1214.37729829 118.294901417
0.0354743512343 0.999999387905 1379.50643269 76.2505979948
0.0441655656491 0.999999955001 1331.68086874 62.1705794478
0.0382650744424 0.999994882781 1335.29321384 111.812270671
0.040317832406 0.978033062008 1308.32807845 103.624621492
0.0404010880306 0.999999816823 1111.49973077 68.658310812
0.0480240736067 0.911959209126 1228.7912645 97.0877639266
0.0490249563168 0.999999799846 1120.93821029 53.6933910464
0.0417457124424 0.704277077395 1344.2546865 85.2784407549
0.0280664325114 0.937826693199 1575.13152083 99.1840619808
0.0476398476223 0.954569204889 1193.56564301 137.37320544
0.0380654341381 0.999999914957 1213.96947957 172.599773764
0.0310045822349 0.999999630728 1370.14072957 65.9675306365
0.042734471517 0.862680351945 1130.20361537 46.2057838872
0.0241953568292 0.973846036876 1408.90587534 149.77576867
0.0533100008582 0.954338773015 1126.05008572 120.619303357
0.0393587940017 0.818032647772 1460.31945632 68.0828860082
0.0568278979429 0.999999845719 1135.9455967 63.7550681231
0.0479711881329 0.949214125372 1175.61394099 62.4827506316
0.0388932386297 0.891361288049 1317.52142657 66.9172415984
0.0393369337104 0.999999917407 1273.86903073 84.2547498782
0.0470317840229 0.871116558129 1219.79434584 74.1811596883
0.0406360001204 0.813057653593 1388.37933521 674.018835675
0.052830262387 0.89447312351 1146.72869173 78.3196229365
0.0500262387071 0.999999958533 1296.44731335 68.5159789685
0.0236201225245 0.999999867746 1551.95901332 48.8087284422
0.0365368013622 0.999999927811 1305.24880356 72.7663401748
0.0415841638901 0.920755611685 1216.18270767 78.5462230562
0.0352903428702 0.962281952451 1362.48293115 54.5269932454
0.0424537460741 0.99999994757 1281.68734222 64.993561591
0.0474314310051 0.999998810972 1164.14393612 84.3826085589
0.0271861366752 0.985970353591 1515.05763081 143.202465509
0.0459920768137 0.999999917432 1166.86432469 45.2568622366
0.0557505042131 0.90713828414 1139.43233807 65.0617780875
0.0380003861711 0.999999959708 1270.12219319 55.1629836377
0.0341800365788 0.999999920645 1424.0713053 84.0577522325
0.044795300802 0.950382730631 1304.39890621 40.0153667896
0.0537566491321 0.988533348326 1116.55179852 63.1163006889
0.0336103034293 0.99999840283 1362.59260184 91.5539763838
0.0320313331414 0.999999890669 1367.31998137 98.6427528552
0.0501471586478 0.99999968822 1123.2942688 106.366089452
0.0366794650208 0.999999485601 1265.81155943 99.5961387504
0.0328714888642 0.999999957013 1378.26012124 71.1826400806
0.0285656776011 0.88233342717 1660.82523651 91.1154649031
0.0426590929248 0.999999872207 1179.28956068 41.2167525146
0.0524513044109 0.999999918302 1119.67157276 68.2143320695
0.0729818483425 0.931064817077 1066.46366222 74.8153803441
