"D" "g0" "sigma"
0.0160627622314 0.914662581859 1992.65227116
0.148411244405 0.999999380264 647.428546123
0.0100288444216 0.904794850111 3369.27782893
0.058414884041 0.999999024677 1072.45211633
0.117670007072 0.957897379032 750.284319221
0.0293202850887 0.980186549267 1319.93683713
0.0770026209462 0.999998720998 933.703282214
0.0784999454329 0.998234591761 875.827838834
0.01584860021 0.664748092051 2276.82414472
0.014122891745 0.99999965731 2226.26655623
0.107152398066 0.999999758389 767.573816342
0.00834566304952 0.871310310148 2989.24824253
0.0152875989645 0.909344772811 2034.41095276
0.141423084354 0.932418008439 581.635417459
0.010826983754 0.999835493926 2129.46783324
0.0196830551857 0.914375149514 1907.4289737
0.114371911941 0.886487546138 817.29633706
0.0915974462945 0.999999762109 884.198774298
0.0402566258106 0.994188032581 1269.45514503
0.00950306500158 0.736480015384 3192.12999943
0.0189475601875 0.999998180284 1856.51824883
0.0444572434422 0.914073449349 1221.90225287
0.108030301371 0.925145450546 799.862140155
0.0790552012742 0.90101038007 927.100699913
0.0157787283239 0.999999879746 2398.82984877
0.0719951376293 0.999999858099 869.376934936
0.0155847390548 0.999999916262 2031.32211943
0.0443083680857 0.873178875039 1196.6591077
0.0180900960878 0.917851539132 1951.91283169
0.0337113670312 0.999999905229 1443.16260645
0.00907987574017 0.99999663042 2954.4460048
0.0715696335529 0.9576525178 906.08299368
0.0102529262858 0.999999879567 2636.26284688
0.0647942144383 0.933954606355 1044.18335201
0.00769531105504 0.999999832798 3289.43527542
0.0371842390212 0.999999869851 1363.71544902
0.17238769856 0.999999907885 628.321474075
0.0101508523809 0.763886708284 3129.27393385
0.041781228477 0.990823584159 1221.2127088
0.0526659604816 0.999999442423 1056.79197332
0.0476373662739 0.936872373112 1176.60996477
0.0412088085877 0.846595000091 1254.52928854
0.0081319506684 0.999999860881 3151.35786499
0.0616348583282 0.929105749483 1100.42753242
0.0480622042165 0.999997600267 1108.43527279
0.0113819786929 0.944071404952 2595.39114397
0.0755977225264 0.991052268988 1027.05192428
0.113690123982 0.999999944098 773.368962688
0.0880557793348 0.999999656346 929.644520677
0.0107252040582 0.974225570807 2650.28271896
0.0134998123791 0.669664329017 3089.85340936
0.104740899287 0.977054771865 727.879834913
0.0100603358977 0.833119089691 2727.3213679
0.121199555947 0.999999851241 677.609750625
0.00946510647637 0.606263083002 5251.8985855
0.0796198829089 0.999998753901 823.977493129
0.0572682901101 0.999999689275 875.467838365
0.0141344713711 0.844983931777 2388.65257304
0.00749547091061 0.967456022721 3188.68568941
0.0637549235627 0.716909047622 1035.57962018
0.105988873234 0.999999841048 808.086094519
0.0430183499933 0.999999870266 1018.0630035
0.0188057069916 0.977399100959 1837.13915415
0.0146454681715 0.903128159126 2335.25610587
0.0146281542435 0.999999896451 2087.43230239
0.0511114872648 0.999999406254 1127.3495255
0.0441004954777 0.99999934271 1310.36803572
0.0160135682492 0.994128978593 1946.26123955
0.0193502880386 0.938282100885 1985.52024016
0.109013714722 0.948814059008 804.65957207
0.0407164690852 0.98172298357 1132.30274906
0.161628477269 0.999999571297 582.662489601
0.0958543411311 0.87456587549 780.163559568
0.083756201974 0.844509748925 881.034405082
0.0848697112588 0.999999105421 937.090999714
0.0755119411444 0.999999812667 961.415550014
0.0473494965458 0.999999889177 1149.37693603
0.0182578174801 0.999998957349 1730.67166933
0.0200273408968 0.999999818438 1876.70063727
0.0666966093466 0.970474166977 983.344237423
0.0797313493006 0.997091963723 935.091241139
0.048576964673 0.999999914514 1077.77026543
0.00665312249737 0.71701867395 3734.95687545
0.00743974881701 0.795571605891 3826.27360411
0.0461009119768 0.999999722966 1132.72461921
0.0596187987867 0.999999766638 1159.23372795
0.00882431350213 0.864656948801 3458.57713797
0.0316471959749 0.999999916605 1589.09821534
0.0867372673685 0.960960353289 858.663743386
0.0901942298626 0.910949530408 884.792502399
0.0713353931481 0.881533876284 1017.93256704
0.0542043410157 0.999999827261 1136.38641228
0.0384105580675 0.999999869293 1226.84387454
0.00936599131585 0.606591852731 4370.10887915
0.0968245705835 0.981733255149 809.762451535
0.0164528390911 0.910841801963 2073.90752552
0.119949861155 0.879547854873 717.639747372
0.0369493158292 0.999999695578 1288.64068632
0.0161523627806 0.948498088223 1979.68845509
0.0928013776935 0.998570408016 753.177718087
